Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL
4036 Htp 17,DVB-S28PSK75003/4,,(feeds),,,,,,ML231103,DVB-S2,7500,3/4,4036 H,tp 17,,,
4046 Vtp 18,DVB-S28PSK7500,,(feeds),,,,,,NOS482230625,DVB-S2,7500,3/4,4046 V,tp 18,,,
4055 Vtp 18,DVB-S28PSK7500,,(feeds),,,,,,NOS482230625,DVB-S2,7500,3/4,4055 V,tp 18,,,
4064 Vtp 18,DVB-S28PSK7500,,(feeds),,,,,,NOS482230625,DVB-S2,7500,3/4,4064 V,tp 18,,,
4066 Htp 19,DVB-S28PSK7500,,(feeds),,,,,,NOS482230709,DVB-S2,7500,3/4,4066 H,tp 19,,,
4073 Vtp 18,DVB-S28PSK7500,,(feeds),,,,,,NOS482230625,DVB-S2,7500,3/4,4073 V,tp 18,,,
4075 Htp 19,DVB-S28PSK7500,,(feeds),,,,,,NOS482230709,DVB-S2,7500,3/4,4075 H,tp 19,,,
4084 Htp 19,DVB-S28PSK7500,,(feeds),,,,,,NOS482230709,DVB-S2,7500,3/4,4084 H,tp 19,,,
4086 Vtp 20,DVB-S28PSK7500,,(feeds),,,,,,NOS482230627,DVB-S2,7500,3/4,4086 V,tp 20,,,
4095 Vtp 20,DVB-S28PSK7500,,(feeds),,,,,,NOS482230702,DVB-S2,7500,3/4,4095 V,tp 20,,,
4104 Vtp 20,DVB-S28PSK7500,,(feeds),,,,,,NOS482230703,DVB-S2,7500,3/4,4104 V,tp 20,,,
4114 Vtp 20,DVB-S28PSK75003/4,,(feeds),,,,,,ML231025,DVB-S2,7500,3/4,4114 V,tp 20,,,
4125 Vtp 22,DVB-S28PSK7500,,(feeds),,,,,,NOS482230703,DVB-S2,7500,3/4,4125 V,tp 22,,,
4134 Vtp 22,DVB-S28PSK7500,,(feeds),,,,,,NOS482230703,DVB-S2,7500,3/4,4134 V,tp 22,,,
4151 Htp 23,DVB-S132353/4,,(Texas Lottery feeds),,,,,,Cruz'n video230704,DVB-S,13235,3/4,4151 H,tp 23,,,
