Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
11804 Rtp 5,ISDB-S8PSK288602/3,,BS Digital,,,,,B-CAS,N Kawano120224,
11843 Rtp 7,ISDB-S316APSK33756.,,BS Digital,,,,,ACAS,Alimudin 328200504,
11843 Rtp 7,ISDB-S316APSK33756.,45168,BS Asahi 4K,,HEVC/UHD,,Jpn,ACAS,,
11843 Rtp 7,ISDB-S316APSK33756.,45169,BS TV Tokyo 4K,,HEVC/UHD,,Jpn,ACAS,,
11843 Rtp 7,ISDB-S316APSK33756.,45170,BS Nippon TV 4K,,HEVC/UHD,,Jpn,ACAS,,
11919 Rtp 11,ISDB-STC8PSK288602/3,,BS Digital,,,,,B-CAS,Alimudin 328200504,
11919 Rtp 11,ISDB-STC8PSK288602/3,231,BS Campus ex,,/HD,,Jpn,B-CAS,,
11919 Rtp 11,ISDB-STC8PSK288602/3,232,BS Campus on,,/HD,,Jpn,B-CAS,,
11919 Rtp 11,ISDB-STC8PSK288602/3,531,The Open University of Japan Radio,,,,Jpn,B-CAS,,
12073 Rtp 19,ISDB-STC8PSK288602/3,,BS Digital,,,,,B-CAS,T Kameda181008,
12111 Rtp 21,ISDB-STC8PSK288602/3,,BS Digital,,,,,B-CAS,T Kameda180803,
12149 Rtp 23,ISDB-S8PSK288602/3,,BS Digital,,,,,B-CAS,Alimudin 328200503,
