Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
10988 Vspot,DVB-S28PSK72003/4,,(feeds),,,,,,Jamie A231125,10988 V,,,,,,
10997 Vspot,DVB-S28PSK72003/4,,(feeds),,,,,,Jamie A231123,10997 V,,,,,,
11178 Vspot,DVB-S28PSK72003/4,,(feeds),,,,,,Jamie ARoli231118,11178 V,,,,,,
11191 Vspot,DVB-S28PSK75003/4,,(feeds),,,,,,N Stanislav230819,11191 V,,,,,,
11290 VWide Ku,DVB-S28PSK48223/4,,(feeds),,,,,,Jamie ARoli231111,11290 V,,,,,,
11292 HWide Ku,DVB-S28PSK48003/4,,(feeds),,,,,,Jamie ARoli230805,11292 H,,,,,,
11296 VWide Ku,DVB-S28PSK48223/4,,(feeds),,,,,,Jamie A231111,11296 V,,,,,,
11299 HWide Ku,DVB-S28PSK75003/4,,(feeds),,,,,,Roli240121,11299 H,,,,,,
11303 VWide Ku,DVB-S28PSK24005/6,,(feeds),,,,,,Jamie A240323,11303 V,,,,,,
11307 HWide Ku,DVB-S28PSK48003/4,,(feeds),,,,,,Roli240317,11307 H,,,,,,
11314 VWide Ku,DVB-S28PSK48003/4,,(feeds),,,,,,Roli240104,11314 V,,,,,,
11317 HWide Ku,DVB-S28PSK72003/4,,(feeds),,,,,,Jamie A240106,11317 H,,,,,,
11328 VWide Ku,DVB-S28PSK96003/4,,(feeds),,,,,,Roli240107,11328 V,,,,,,
11334 HWide Ku,DVB-S28PSK72003/4,,(feeds),,,,,,Jamie A231017,11334 H,,,,,,
11348 Htp C8Wide Ku,DVB-S28PSK72003/4,,(feeds),,,,,,Stanley_cassidyRoli231024,11348 H,tp C8,,,,,
12633 Vtp F4spot,DVB-S28PSK72003/4,,(feeds),,,,,,N Stanislav231217,12633 V,tp F4,,,,,
3898 RWide C42-43,DVB-S28PSK201505/6,,StarTimes TV Kenya,,1-4,,9.4,,DX Bozóth240314,3898 R,,42-43,,https://www.lyngsat.com/providers/ke/StarTimes-TV-Kenya.html,,
3898 RWide C42-43,DVB-S28PSK201505/6,10,Capuchin TV,,MPEG-4/SD,1251,1252 Eng,,,3898 R,,42-43,,,Capuchin TV,https://www.lyngsat.com/tvchannels/ke/Capuchin-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,24,Family TV (Kenya),,MPEG-4/SD,41,38 Eng,,,3898 R,,42-43,,,Family TV (Kenya),https://www.lyngsat.com/tvchannels/ke/Family-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,24,Family TV (Kenya),,MPEG-4/SD,41,38 Eng,,,3898 R,,42-43,,,Family TV (Kenya),https://www.lyngsat.com/tvchannels/ke/Family-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,102,NTV (Kenya),,MPEG-4/SD,1021,1022 Eng,,,3898 R,,42-43,,,NTV (Kenya),https://www.lyngsat.com/tvchannels/ke/NTV.html
3898 RWide C42-43,DVB-S28PSK201505/6,102,NTV (Kenya),,MPEG-4/SD,1021,1022 Eng,,,3898 R,,42-43,,,NTV (Kenya),https://www.lyngsat.com/tvchannels/ke/NTV.html
3898 RWide C42-43,DVB-S28PSK201505/6,103,KTN Home,,MPEG-4/SD,1031,1032 Eng,,,3898 R,,42-43,,,KTN Home,https://www.lyngsat.com/tvchannels/ke/KTN-Home.html
3898 RWide C42-43,DVB-S28PSK201505/6,104,K24,,MPEG-4/SD,1041,1042 Eng,,,3898 R,,42-43,,,K24,https://www.lyngsat.com/tvchannels/ke/K24.html
3898 RWide C42-43,DVB-S28PSK201505/6,104,K24,,MPEG-4/SD,1041,1042 Eng,,,3898 R,,42-43,,,K24,https://www.lyngsat.com/tvchannels/ke/K24.html
3898 RWide C42-43,DVB-S28PSK201505/6,105,Shifu TV,,MPEG-4/SD,1105,2105 Eng,,,3898 R,,42-43,,,Shifu TV,https://www.lyngsat.com/tvchannels/ke/Shifu-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,106,KBC Channel 1,,MPEG-4/SD,1061,1062 Eng,,,3898 R,,42-43,,,KBC Channel 1,https://www.lyngsat.com/tvchannels/ke/KBC-Channel-1.html
3898 RWide C42-43,DVB-S28PSK201505/6,107,God TV Africa,,MPEG-4/SD,1071,1072 Eng,,,3898 R,,42-43,,,God TV Africa,https://www.lyngsat.com/tvchannels/uk/God-TV-Africa.html
3898 RWide C42-43,DVB-S28PSK201505/6,107,God TV Africa,,MPEG-4/SD,1071,1072 Eng,,,3898 R,,42-43,,,God TV Africa,https://www.lyngsat.com/tvchannels/uk/God-TV-Africa.html
3898 RWide C42-43,DVB-S28PSK201505/6,108,Bliss TV (Kenya),,MPEG-4/SD,2098,20.9 Eng,,,3898 R,,42-43,,,Bliss TV (Kenya),https://www.lyngsat.com/tvchannels/ke/Bliss-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,110,Aviation TV,,MPEG-4/SD,1101,1102 Eng,,,3898 R,,42-43,,,Aviation TV,https://www.lyngsat.com/tvchannels/ke/Aviation-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,112,Al Huda TV,,MPEG-4/SD,1121,1122 Ara,,,3898 R,,42-43,,,Al Huda TV,https://www.lyngsat.com/tvchannels/ke/Al-Huda-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,113,Faith TV,,MPEG-4/SD,1131,1132 Eng,,,3898 R,,42-43,,,Faith TV,https://www.lyngsat.com/tvchannels/ke/Faith-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,116,KTN Farmers TV,,MPEG-4/SD,1161,1162 Eng,,,3898 R,,42-43,,,KTN Farmers TV,https://www.lyngsat.com/tvchannels/ke/KTN-Farmers-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,116,KTN Farmers TV,,MPEG-4/SD,1161,1162 Eng,,,3898 R,,42-43,,,KTN Farmers TV,https://www.lyngsat.com/tvchannels/ke/KTN-Farmers-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,117,Citizen TV,,MPEG-4/SD,1171,1172 Eng,,,3898 R,,42-43,,,Citizen TV,https://www.lyngsat.com/tvchannels/ke/Citizen-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,117,Citizen TV,,MPEG-4/SD,1171,1172 Eng,,,3898 R,,42-43,,,Citizen TV,https://www.lyngsat.com/tvchannels/ke/Citizen-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,119,ST Rembo TV,,MPEG-4/SD,1191,1192 Eng,,,3898 R,,42-43,,,ST Rembo TV,https://www.lyngsat.com/tvchannels/cn/ST-Rembo-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,120,PPP TV,,MPEG-4/SD,1201,1202 Eng,,,3898 R,,42-43,,,PPP TV,https://www.lyngsat.com/tvchannels/ke/PPP-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,121,Heavens TV (Kenya),,MPEG-4/SD,6118,6219 Eng,,,3898 R,,42-43,,,Heavens TV (Kenya),https://www.lyngsat.com/tvchannels/ke/Heavens-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,122,Horizon TV,,MPEG-4/SD,1220,1222 Eng,,,3898 R,,42-43,,,Horizon TV,https://www.lyngsat.com/tvchannels/ke/Horizon-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,123,Akili Kids!,,MPEG-4/SD,1181,1.82 Eng,,,3898 R,,42-43,,,Akili Kids!,https://www.lyngsat.com/tvchannels/ke/Akili-Kids.html
3898 RWide C42-43,DVB-S28PSK201505/6,132,Kameme TV,,MPEG-4/SD,601,602 Eng,,,3898 R,,42-43,,,Kameme TV,https://www.lyngsat.com/tvchannels/ke/Kameme-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,133,PPP+ TV,,MPEG-4/SD,1501,1502 Eng,,,3898 R,,42-43,,,PPP+ TV,https://www.lyngsat.com/tvchannels/ke/PPP--TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,135,Nb TV,,MPEG-4/SD,1108,2108 Eng,,,3898 R,,42-43,,,Nb TV,https://www.lyngsat.com/tvchannels/ke/Nb-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,136,Prophetic TV (Kenya),,MPEG-4/SD,1152,2152 Eng,,,3898 R,,42-43,,,Prophetic TV (Kenya),https://www.lyngsat.com/tvchannels/ke/Prophetic-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,139,World Evangelism TV,,MPEG-4/SD,1139,2139 Eng,,,3898 R,,42-43,,,World Evangelism TV,https://www.lyngsat.com/tvchannels/ke/World-Evangelism-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,139,World Evangelism TV,,MPEG-4/SD,1139,2139 Eng,,,3898 R,,42-43,,,World Evangelism TV,https://www.lyngsat.com/tvchannels/ke/World-Evangelism-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,141,Mzalendo TV,,MPEG-4/SD,1144,2141,,,3898 R,,42-43,,,Mzalendo TV,https://www.lyngsat.com/tvchannels/ke/Mzalendo-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,143,StarTimes TV Guide Kenya,,MPEG-4/SD,1143,2143 Eng,,,3898 R,,42-43,,,StarTimes TV Guide Kenya,https://www.lyngsat.com/tvchannels/cn/StarTimes-TV-Guide-Kenya.html
3898 RWide C42-43,DVB-S28PSK201505/6,144,Urejesho TV,,MPEG-4/SD,2144,2145 Swa,,,3898 R,,42-43,,,Urejesho TV,https://www.lyngsat.com/tvchannels/tz/Urejesho-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,145,Tinker TV,,MPEG-4/SD,1145,2155 Eng,,,3898 R,,42-43,,,Tinker TV,https://www.lyngsat.com/tvchannels/ke/Tinker-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,195,Morning Cloud TV,,MPEG-4/SD,1115,2115 Eng,,,3898 R,,42-43,,,Morning Cloud TV,https://www.lyngsat.com/tvchannels/ke/Morning-Cloud-TV.html
4028 RWide C42-43,DVB-S2QPSK41421/2,1,Morning Cloud TV,,0-0MPEG-4/HD,2101,1.02102 Eng,,S Evans220210,4028 R,,42-43,,,Morning Cloud TV,https://www.lyngsat.com/tvchannels/ke/Morning-Cloud-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,196,Voice of Victory TV,,MPEG-4/SD,2498,1498 Eng,,new,3898 R,,42-43,,,Voice of Victory TV,https://www.lyngsat.com/tvchannels/ke/Voice-of-Victory-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,580,KTN News (Kenya),,MPEG-4/SD,1423,1422 Eng,,,3898 R,,42-43,,,KTN News (Kenya),https://www.lyngsat.com/tvchannels/ke/KTN-News.html
3898 RWide C42-43,DVB-S28PSK201505/6,630,Dunny TV,,MPEG-4/SD,1630,2630 Eng,,,3898 R,,42-43,,,Dunny TV,https://www.lyngsat.com/tvchannels/ke/Dunny-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,632,Empire TV promo,,MPEG-4/SD,1632,2632 Eng,,,3898 R,,42-43,,,,
3898 RWide C42-43,DVB-S28PSK201505/6,633,GN TV promo,,MPEG-4/SD,1633,2633 Eng,,,3898 R,,42-43,,,,
3898 RWide C42-43,DVB-S28PSK201505/6,634,Gichichio TV,,MPEG-4/SD,1634,2634 Eng,,new,3898 R,,42-43,,,Gichichio TV,https://www.lyngsat.com/tvchannels/ke/Gichichio-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,637,Alive TV promo,,MPEG-4/SD,1637,2637 Eng,,,3898 R,,42-43,,,,
3898 RWide C42-43,DVB-S28PSK201505/6,999,Kass TV,,MPEG-4/SD,1302,1303 Eng,,,3898 R,,42-43,,,Kass TV,https://www.lyngsat.com/tvchannels/ke/Kass-TV.html
3898 RWide C42-43,DVB-S28PSK201505/6,125,Kameme FM,,,,5203,,,3898 R,,42-43,,,Kameme FM,https://www.lyngsat.com/radiochannels/ke/Kameme-FM.html
3898 RWide C42-43,DVB-S28PSK201505/6,126,Milele FM,,,,5204,,,3898 R,,42-43,,,Milele FM,https://www.lyngsat.com/radiochannels/ke/Milele-FM.html
3898 RWide C42-43,DVB-S28PSK201505/6,127,Emoo FM,,,,411.,,,3898 R,,42-43,,,Emoo FM,https://www.lyngsat.com/radiochannels/ke/Emoo-FM.html
3898 RWide C42-43,DVB-S28PSK201505/6,128,Mayian FM,,,,5202,,,3898 R,,42-43,,,Mayian FM,https://www.lyngsat.com/radiochannels/ke/Mayian-FM.html
3898 RWide C42-43,DVB-S28PSK201505/6,129,Meru FM,,,,5201,,,3898 R,,42-43,,,Meru FM,https://www.lyngsat.com/radiochannels/ke/Meru-FM.html
3898 RWide C42-43,DVB-S28PSK201505/6,130,Osiepe FM,,,,5206,,,3898 R,,42-43,,,Osiepe FM,https://www.lyngsat.com/radiochannels/ke/Osiepe-FM.html
3898 RWide C42-43,DVB-S28PSK201505/6,131,Msenangu FM,,,,77,,,3898 R,,42-43,,,Msenangu FM,https://www.lyngsat.com/radiochannels/ke/Msenangu-FM.html
3898 RWide C42-43,DVB-S28PSK201505/6,581,Radio Maisha,,,,1409,,,3898 R,,42-43,,,Radio Maisha,https://www.lyngsat.com/radiochannels/ke/Radio-Maisha.html
3898 RWide C42-43,DVB-S28PSK201505/6,581,Radio Maisha,,,,1409,,,3898 R,,42-43,,,Radio Maisha,https://www.lyngsat.com/radiochannels/ke/Radio-Maisha.html
3912 RWide C42-43,DVB-S28PSK36003/4,,Congo-Kinshasa mux,,,,7.9,BISS 1,N Stanislav230720,3912 R,,42-43,BISS 1,,,
3912 RWide C42-43,DVB-S28PSK36003/4,1,Antenne A TV,,MPEG-4/SD,36,35 Fre,BISS 1,,3912 R,,42-43,BISS 1,,Antenne A TV,https://www.lyngsat.com/tvchannels/cd/Antenne-A-TV.html
3912 RWide C42-43,DVB-S28PSK36003/4,2,Cinarc TV,,MPEG-4/SD,5442,5443 Fre,BISS 1,,3912 R,,42-43,BISS 1,,Cinarc TV,https://www.lyngsat.com/tvchannels/cd/Cinarc-TV.html
3912 RWide C42-43,DVB-S28PSK36003/4,3,RTNC,,MPEG-4/SD,40,39 Fre,BISS 1,,3912 R,,42-43,BISS 1,,RTNC,https://www.lyngsat.com/tvchannels/cd/RTNC.html
3912 RWide C42-43,DVB-S28PSK36003/4,4,B-One TV,,MPEG-4/SD,34,.3 Fre,BISS 1,,3912 R,,42-43,BISS 1,,B-One TV,https://www.lyngsat.com/tvchannels/cd/B-One-TV.html
3912 RWide C42-43,DVB-S28PSK36003/4,6,Télé 7,,MPEG-4/SD,42,43 Fre,,,3912 R,,42-43,,,Télé 7,https://www.lyngsat.com/tvchannels/cd/Tele-7.html
3912 RWide C42-43,DVB-S28PSK36003/4,7,Moliere TV,,MPEG-4/SD,44,45 Fre,BISS 1,,3912 R,,42-43,BISS 1,,Moliere TV,https://www.lyngsat.com/tvchannels/cd/Moliere-TV.html
3912 RWide C42-43,DVB-S28PSK36003/4,8,Télé 50,,MPEG-4/SD,290,291 Fre,BISS 1,,3912 R,,42-43,BISS 1,,Télé 50,https://www.lyngsat.com/tvchannels/cd/Tele-50.html
3918 RWide C42-43,DVB-S28PSK64803/4,,New World TV,,1-1,,7.9,,N Stanislav240307,3918 R,,42-43,,https://www.lyngsat.com/providers/tg/New-World-TV.html,,
3918 RWide C42-43,DVB-S28PSK64803/4,1,[test card],,MPEG-4/SD,544,867,,,3918 R,,42-43,,,,
3918 RWide C42-43,DVB-S28PSK64803/4,2,[test card],,MPEG-4/SD,511,811,,,3918 R,,42-43,,,,
3918 RWide C42-43,DVB-S28PSK64803/4,9,[test card],,MPEG-4/SD,531,831,,,3918 R,,42-43,,,,
3918 RWide C42-43,DVB-S28PSK64803/4,3,NW Magazine,,MPEG-4/SD,546,802 Fre,,new,3918 R,,42-43,,,NW Magazine,https://www.lyngsat.com/tvchannels/tg/NW-Magazine.html
3918 RWide C42-43,DVB-S28PSK64803/4,4,NW Info Français,,MPEG-4/SD,547,803 Fre,,new,3918 R,,42-43,,,NW Info Français,https://www.lyngsat.com/tvchannels/tg/NW-Info-Francais.html
3918 RWide C42-43,DVB-S28PSK64803/4,4,NW Info Français,,MPEG-4/SD,547,803 Fre,,new,3918 R,,42-43,,,NW Info Français,https://www.lyngsat.com/tvchannels/tg/NW-Info-Francais.html
3918 RWide C42-43,DVB-S28PSK64803/4,5,NW Cinema,,MPEG-4/SD,548,804 Fre,,new,3918 R,,42-43,,,NW Cinema,https://www.lyngsat.com/tvchannels/tg/NW-Cinema.html
3918 RWide C42-43,DVB-S28PSK64803/4,7,NW Transnat,,MPEG-4/SD,513,813 Fre,,new,3918 R,,42-43,,,NW Transnat,https://www.lyngsat.com/tvchannels/tg/NW-Transnat.html
3943 RWide C42-43,DVB-S28PSK20803/5,1,AIT Partners,,8192-4096MPEG-4/SD,512,5.54112 Eng,,N Stanislav231212,3943 R,,42-43,,,,
3943 RWide C42-43,DVB-S28PSK20803/5,2,Ray Power FM,,,,1065 Eng,,,3943 R,,42-43,,,Ray Power FM,https://www.lyngsat.com/radiochannels/ng/Ray-Power-FM.html
3943 RWide C42-43,DVB-S28PSK20803/5,3,Ray Power FM Abuja,,,,1063 Eng,,,3943 R,,42-43,,,Ray Power FM Abuja,https://www.lyngsat.com/radiochannels/ng/Ray-Power-FM-Abuja.html
3943 RWide C42-43,DVB-S28PSK20803/5,3,Ray Power FM Abuja,,,,1063 Eng,,,3943 R,,42-43,,,Ray Power FM Abuja,https://www.lyngsat.com/radiochannels/ng/Ray-Power-FM-Abuja.html
3943 RWide C42-43,DVB-S28PSK20803/5,3,Ray Power FM Abuja,,,,1063 Eng,,,3943 R,,42-43,,,Ray Power FM Abuja,https://www.lyngsat.com/radiochannels/ng/Ray-Power-FM-Abuja.html
3943 RWide C42-43,DVB-S28PSK20803/5,3,Ray Power FM Abuja,,,,1063 Eng,,,3943 R,,42-43,,,Ray Power FM Abuja,https://www.lyngsat.com/radiochannels/ng/Ray-Power-FM-Abuja.html
3945 RWide C42-43,DVB-S28PSK20803/5,2,Ray Power FM Abuja,,,,257 Eng,,,3945 R,,42-43,,,Ray Power FM Abuja,https://www.lyngsat.com/radiochannels/ng/Ray-Power-FM-Abuja.html
3945 RWide C42-43,DVB-S28PSK20803/5,2,Ray Power FM Abuja,,,,257 Eng,,,3945 R,,42-43,,,Ray Power FM Abuja,https://www.lyngsat.com/radiochannels/ng/Ray-Power-FM-Abuja.html
