Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
12278 Htp 13FNB,DVB-S278003/4,,Foxtel,,,,5.5,IrdetoVideoguard,D de Jong231028,,False,
12278 Htp 13FNB,DVB-S278003/4,19001.0,Expo Channel,,MPEG-2/SD,1011.0,1012 Eng,,,,False,
12358 Htp 15FNB,DVB-S278003/4,,Foxtel,,4096-2,,5.5,IrdetoVideoguard,C Gordon 3231103,,False,
12367 Vtp 3FNA,DVB-S28PSK300003/5,,VAST,,?-6,,5.5,Irdeto,C Sutton211021,,False,
12398 Htp 16FNB,DVB-S278003/4,,Foxtel,,4096-4,,5.5,IrdetoVideoguard,C Sutton171003,,False,
12407 Vtp 4FNA,DVB-S28PSK300003/5,,Foxtel,,,,5.5,IrdetoVideoguard,C Sutton210211,,False,
12407 Vtp 4FNA,DVB-S28PSK300003/5,3008.0,TVSN,,MPEG-2/SD,1081.0,1082 Eng,,,,False,
12438 Htp 17FNB,DVB-S278003/4,,Foxtel,,4096-17,,5.5,IrdetoVideoguard,T Baxter180528,,False,
12438 Htp 17FNB,DVB-S278003/4,17005.0,Foxtel Digital Help,,MPEG-2/SD,1051.0,Eng,,,,False,
12447 Vtp 5FNA,DVB-S28PSK300003/4,,Foxtel,,,,7.9,Irdeto,C Sutton220927,,False,
12478 Htp 18FNB,DVB-S278003/4,,Foxtel,,4096-3,,5.5,IrdetoVideoguard,C Sutton230705,,False,
12478 Htp 18FNB,DVB-S278003/4,3008.0,TVSN,,MPEG-2/SD,1081.0,1082 Eng,,,,False,
12478 Htp 18FNB,DVB-S278003/4,3010.0,Aljazeera English,,MPEG-2/SD,1101.0,1102 Eng,,,,False,
12487 Vtp 6FNA,DVB-S28PSK300003/5,,VAST,,?-5,,5.5,Irdeto,C Sutton181213,,False,
12518 Htp 19FNB,DVB-S278003/4,,Foxtel,,4096-15,,5.5,IrdetoVideoguard,C Sutton230705,,False,
12558 Htp 20FNB,DVB-S278003/4,,Foxtel,,4096-1,,5.5,IrdetoVideoguard,M Steindlberger200118,,False,
12567 Vtp 8FNA,DVB-S28PSK300003/5,,VAST,,?-1,,5.5,Irdeto,C Sutton231205,,False,
12598 Htp 21FNB,DVB-S278003/4,,Foxtel,,4096-5,,5.5,IrdetoVideoguard,Anonymous230820,,False,
12638 Htp 22FNB,DVB-S278003/4,,Foxtel,,4096-12,,5.5,IrdetoVideoguard,C Sutton200702,,False,
12647 Vtp 10FNA,DVB-S28PSK300003/5,,VAST,,?-3,,5.5,Irdeto,J Hope230516,,False,
12647 Vtp 10FNA,DVB-S28PSK300003/5,10.0,VAST Information Channel,,MPEG-4/SD,801.0,802 Eng,,,,False,
12647 Vtp 10FNA,DVB-S28PSK300003/5,12.0,[Optus TV info card],,MPEG-4/SD,805.0,4096 Eng,,,,False,
12647 Vtp 10FNA,DVB-S28PSK300003/5,726.0,Southern Cross Austereo Disaster Relief,,,,7217 Eng,,,,False,
12718 Htp 24FNB,DVB-S278003/4,,Foxtel,,4096-22,,5.5,IrdetoVideoguard,C Sutton220920,,False,
