Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
11460 Htp 1Europe Ku,DVB-S216APSK72003/4,,(feeds),,,,,,Jamie A150523,,False,
11460 Vtp 2Europe Ku,DVB-S28PSK37502/3,,(feeds),,,,,,Jamie A240220,,False,
11469 Htp 1Europe Ku,DVB-S28PSK32143/4,,(feeds),,,,,,Roli150210,,False,
11470 Vtp 2Europe Ku,DVB-S28PSK72003/4,,(feeds),,,,,,Jamie A230115,,False,
11479 Htp 1Europe Ku,DVB-S44443/4,,(feeds),,,,,,Serdar 22140821,,False,
11480 Vtp 2Europe Ku,DVB-S269755/6,,(feeds),,,,,,Roli230821,,False,
11488 Vtp 2Europe Ku,DVB-S28PSK72003/4,,(feeds),,,,,,Roli230715,,False,
11490 Htp 1Europe Ku,DVB-S28PSK50005/6,,(feeds),,,,,,Jamie A240123,,False,
11501 Htp 3Europe Ku,DVB-S28PSK72003/4,,(feeds),,,,,,Jamie A231029,,False,
11502 Vtp 4Europe Ku,DVB-S28PSK72003/4,,(feeds),,,,,,Jamie A230228,,False,
11510 Htp 3Europe Ku,DVB-S28PSK72003/4,,(feeds),,,,,,Jamie A220508,,False,
11510 Vtp 4Europe Ku,DVB-S28PSK72003/4,,(feeds),,,,,,Jamie A240123,,False,
11519 Htp 3Europe Ku,DVB-S28PSK72003/4,,(feeds),,,,,,Jamie A230819,,False,
11527 Htp 3Europe Ku,DVB-S28PSK36503/4,,(feeds),,,,,,Roli240309,,False,
11527 Vtp 4Europe Ku,DVB-S28PSK98743/4,,(feeds),,,,,,Roli240128,,False,
11581 Vtp 8Europe Ku,DVB-S61113/4,,(feeds),,,,,,Marcel 2160107,,False,
11586 Htp 7Europe Ku,DVB-S28PSK48003/4,,(feeds),,,,,,F Kocsis180525,,False,
11590 Htp 7Europe Ku,DVB-S28PSK24002/3,,(feeds),,,,,,Serdar 22171111,,False,
11596 Htp 7Europe Ku,DVB-S28PSK48002/3,,(feeds),,,,,,F Kocsis180525,,False,
11601 Vtp 8Europe Ku,DVB-S28PSK45002/3,,(feeds),,,,,,Roli220507,,False,
11602 Htp 7Europe Ku,DVB-S28PSK24002/3,,(feeds),,,,,,Roli160605,,False,
11609 Htp 7Europe Ku,DVB-S28PSK48003/4,,(feeds),,,,,,Marcel 2170327,,False,
11620 Vtp 10Europe Ku,DVB-S28PSK48003/4,,(feeds),,,,,,Roli230213,,False,
11630 Htp 9Europe Ku,DVB-S66667/8,,(feeds),,,,,,Roli130604,,False,
11631 Vtp 10Europe Ku,DVB-S28PSK72003/4,,(feeds),,,,,,EnoSat231007,,False,
11636 Htp 9Europe Ku,DVB-S28PSK36302/3,,(feeds),,,,,,Roli150508,,False,
11640 Vtp 10Europe Ku,DVB-S28PSK69755/6,,(feeds),,,,,,Roli230916,,False,
11649 Vtp 10Europe Ku,DVB-S28PSK69755/6,,(feeds),,,,,,Roli230916,,False,
11659 Htp 9Europe Ku,DVB-S28PSK50003/4,,(feeds),,,,,,Jamie A230121,,False,
11661 Vtp 12Europe Ku,DVB-S28PSK72003/4,,(feeds),,,,,,Jamie A230304,,False,
11670 Htp 11Europe Ku,DVB-S28PSK75003/4,,(feeds),,,,,,Jamie A231015,,False,
11673 Vtp 12Europe Ku,DVB-S28PSK37503/4,,(feeds),,,,,,Roli231202,,False,
11679 Htp 11Europe Ku,DVB-S28PSK63322/3,,(feeds),,,,,,Jamie A240307,,False,
11680 Vtp 12Europe Ku,DVB-S28PSK72003/4,,(feeds),,,,,,Roli230715,,False,
11686 Vtp 12Europe Ku,DVB-S28PSK27503/4,,(feeds),,,,,,Serdar 22140809,,False,
11687 Htp 11Europe Ku,DVB-S28PSK98743/4,,(feeds),,,,,,Roli221217,,False,
12511 Vtp 14Europe Ku,DVB-S28PSK72003/4,,(feeds),,,,,,Jamie A230722,,False,
12519 Vtp 14Europe Ku,DVB-S28PSK69755/6,,(feeds),,,,,,Roli230618,,False,
12530 Vtp 14Europe Ku,DVB-S28PSK72003/4,,(feeds),,,,,,Jamie A240220,,False,
12540 Vtp 14Europe Ku,DVB-S28PSK37503/4,,(feeds),,,,,,Jamie A220919,,False,
12550 Htp 15Europe Ku,DVB-S28PSK144003/4,,(feeds),,,,,,Jamie A150530,,False,
12550 Vtp 16Europe Ku,DVB-S28PSK16635/6,,(feeds),,,,,,Serdar 22140809,,False,
