Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
794,10981 Vtp B2Fixed 10,DVB-S449485/6,,Telekarta Vostok,,1-5,,6.5,ConaxIrdeto,N Stanislav220428
794,10981 Vtp B2Fixed 10,701,Telekarta promo,,MPEG-2/SD,801,901 Rus,,,
794,10981 Vtp B2Fixed 10,712,Shop & Show,,MPEG-2/SD,812,912 Rus,,,
794,10981 Vtp B2Fixed 10,791,Europa Plus (+7h),,,,991 Rus,,,
794,10981 Vtp B2Fixed 10,792,Retro FM Rossiya (+7h),,,,992 Rus,,,
11124 Vtp B6Fixed 10,DVB-S28PSK43403/4,,Arktik Telekom,,,,7.9,,Antonipls180712,https://www.lyngsat.com/providers/ru/Arktik-Telekom.html
11124 Vtp B6Fixed 10,DVB-S28PSK43403/4,1,NVK Sakha,,MPEG-4/SD,111,112 Rus,,,
11124 Vtp B6Fixed 10,DVB-S28PSK43403/4,2,Sakha 24,,MPEG-4/SD,211,212 Rus,,,
11124 Vtp B6Fixed 10,DVB-S28PSK43403/4,3,NVK Sakha Pokrovsk,,MPEG-4/SD,311,312 Rus,,,
11124 Vtp B6Fixed 10,DVB-S28PSK43403/4,4,Mamont TV,,MPEG-4/SD,411,412 Rus,,,
11124 Vtp B6Fixed 10,DVB-S28PSK43403/4,5,Almaznyy kray TV,,MPEG-4/SD,511,512 Rus,,,
11124 Vtp B6Fixed 10,DVB-S28PSK43403/4,1,Radio Republic Sakha,,,,112 Rus,,,
11124 Vtp B6Fixed 10,DVB-S28PSK43403/4,1,Radio Mayak,,,,113 Rus,,,
11124 Vtp B6Fixed 10,DVB-S28PSK43403/4,1,Radio Rossii,,,,113 Rus,,,
11124 Vtp B6Fixed 10,11262 Vtp F4Fixed 20,DVB-S28PSK300003/4,,Telekarta Vostok,,,,7.9,ConaxIrdeto,N Stanislav220309
11124 Vtp B6Fixed 10,11387 Vtp F10Fixed 20,DVB-S28PSK300003/4,,Telekarta Vostok,,,,7.9,ConaxIrdeto,N Stanislav230201
11124 Vtp B6Fixed 10,11387 Vtp F10Fixed 20,883,8 Kanal,,MPEG-4/SD,283,383 Rus,,,
11124 Vtp B6Fixed 10,11387 Vtp F10Fixed 20,895,TNT Music,,MPEG-4/SD,295,395 Rus,,,
11124 Vtp B6Fixed 10,11432 Htp F11Fixed 20,DVB-S2XACM28500.,,@ StarBlazer,,,,,,M Shestakov201221
11124 Vtp B6Fixed 10,11530 Htp D3Fixed 10,DVB-S28PSK222502/3,,Telekarta Vostok,,1-2,,6.6,ConaxIrdeto,N Stanislav221214
11124 Vtp B6Fixed 10,11530 Htp D3Fixed 10,803,Soyuz,,MPEG-4/SD,203,303 Rus,,,
11124 Vtp B6Fixed 10,11530 Htp D3Fixed 10,805,Juvelirochka,,MPEG-4/SD,205,305 Rus,,,
11124 Vtp B6Fixed 10,11530 Htp D3Fixed 10,809,STS Love (+7h),,MPEG-4/SD,209,309 Rus,,,
11124 Vtp B6Fixed 10,11530 Htp D3Fixed 10,817,Leomax 24,,MPEG-4/SD,217,317 Rus,,,
11124 Vtp B6Fixed 10,11557 Htp D3Fixed 10,DVB-S28PSK222502/3,,Telekarta Vostok,,1-3,,6.6,ConaxIrdeto,N Stanislav220406
11124 Vtp B6Fixed 10,11665 Vtp D8Fixed 10,DVB-S384005/6,,Telekarta Vostok,,,,6.5,ConaxIrdeto,T Kameda230613
11124 Vtp B6Fixed 10,11665 Vtp D8Fixed 10,728,Leomax 24,,MPEG-2/SD,828,928 Rus,,,
11124 Vtp B6Fixed 10,11665 Vtp D8Fixed 10,738,Juvelirochka,,MPEG-2/SD,838,938 Rus,,,
11124 Vtp B6Fixed 10,11665 Vtp D8Fixed 10,769,[test card],,MPEG-2/SD,869,969,,,
11124 Vtp B6Fixed 10,11665 Vtp D8Fixed 10,793,Europa Plus (+5h),,,,993 Rus,,,
11124 Vtp B6Fixed 10,11665 Vtp D8Fixed 10,794,Retro FM Rossiya (+5h),,,,994 Rus,,,
