SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country,Provider_Country
,OSN TV,2048-566,,11727 H,tp 1,48,Verimatrix (B),,,,False,,3/4,30000,DVB-S2,,,
,OSN TV,2048-2,,11881 H,tp 9,48,Verimatrix (B),,,,False,,3/4,30000,DVB-S2,,,
,OSN TV,2048-20,,11977 V,tp 14,48,,,,,False,,5/6,27500,DVB-S2,,,
,OSN TV,2048-3,,11996 H,tp 15,48,"Verimatrix (B),Mediaguard",,,,False,,3/4,30000,DVB-S2,,,
,OSN TV,2048-45,,12073 H,tp 19,48,Verimatrix (B),,,,False,,3/4,30000,DVB-S2,,,
,ERTU,2048-1,,11747 V,tp 2,48,,https://www.lyngsat.com/providers/eg/ERTU.html,,,True,ERTU,5/6,27500,DVB-S2,,,eg
,ERTU,2048-1,,11747 V,tp 2,48,,https://www.lyngsat.com/providers/eg/ERTU.html,,,True,ERTU,5/6,27500,DVB-S2,,,eg
,ERTU,2048-6,,11843 H,tp 7,48,,https://www.lyngsat.com/providers/eg/ERTU.html,,,True,ERTU,5/6,27500,DVB-S2,,,eg
,ERTU,2048-6,,11843 H,tp 7,48,,https://www.lyngsat.com/providers/eg/ERTU.html,,,True,ERTU,5/6,27500,DVB-S2,,,eg
102.0,Al Qahera News,MPEG-2/SD,1002.0,11747 V,tp 2,48,,,Al Qahera News,https://www.lyngsat.com/tvchannels/eg/Al-Qahera-News.html,False,ERTU,5/6,27500,DVB-S2,Ara,eg,
102.0,Al Qahera News,MPEG-2/SD,1002.0,11747 V,tp 2,48,,,Al Qahera News,https://www.lyngsat.com/tvchannels/eg/Al-Qahera-News.html,False,ERTU,5/6,27500,DVB-S2,Ara,eg,
102.0,Al Qahera News,MPEG-2/SD,1002.0,11747 V,tp 2,48,,,Al Qahera News,https://www.lyngsat.com/tvchannels/eg/Al-Qahera-News.html,False,ERTU,5/6,27500,DVB-S2,Ara,eg,
102.0,Al Qahera News,MPEG-2/SD,1002.0,11747 V,tp 2,48,,,Al Qahera News,https://www.lyngsat.com/tvchannels/eg/Al-Qahera-News.html,False,ERTU,5/6,27500,DVB-S2,Ara,eg,
105.0,Al Qahera News,MPEG-4/HD,1005.0,11747 V,tp 2,48,,,Al Qahera News,https://www.lyngsat.com/tvchannels/eg/Al-Qahera-News.html,False,ERTU,5/6,27500,DVB-S2,Ara,eg,
105.0,Al Qahera News,MPEG-4/HD,1005.0,11747 V,tp 2,48,,,Al Qahera News,https://www.lyngsat.com/tvchannels/eg/Al-Qahera-News.html,False,ERTU,5/6,27500,DVB-S2,Ara,eg,
105.0,Al Qahera News,MPEG-4/HD,1005.0,11747 V,tp 2,48,,,Al Qahera News,https://www.lyngsat.com/tvchannels/eg/Al-Qahera-News.html,False,ERTU,5/6,27500,DVB-S2,Ara,eg,
105.0,Al Qahera News,MPEG-4/HD,1005.0,11747 V,tp 2,48,,,Al Qahera News,https://www.lyngsat.com/tvchannels/eg/Al-Qahera-News.html,False,ERTU,5/6,27500,DVB-S2,Ara,eg,
103.0,Sudan TV,MPEG-2/SD,1003.0,11747 V,tp 2,48,,,Sudan TV,https://www.lyngsat.com/tvchannels/sd/Sudan-TV.html,False,ERTU,5/6,27500,DVB-S2,Ara,sd,
104.0,Yemen TV,MPEG-4/HD,1104.0,11747 V,tp 2,48,,,Yemen TV,https://www.lyngsat.com/tvchannels/ye/Yemen-TV.html,False,ERTU,5/6,27500,DVB-S2,Ara,ye,
104.0,Yemen TV,MPEG-4/HD,1104.0,11747 V,tp 2,48,,,Yemen TV,https://www.lyngsat.com/tvchannels/ye/Yemen-TV.html,False,ERTU,5/6,27500,DVB-S2,Ara,ye,
106.0,Al Ahly TV,MPEG-4/HD,1006.0,11747 V,tp 2,48,,,Al Ahly TV,https://www.lyngsat.com/tvchannels/eg/Al-Ahly-TV.html,False,ERTU,5/6,27500,DVB-S2,Ara,eg,
106.0,Al Ahly TV,MPEG-4/HD,1006.0,11747 V,tp 2,48,,,Al Ahly TV,https://www.lyngsat.com/tvchannels/eg/Al-Ahly-TV.html,False,ERTU,5/6,27500,DVB-S2,Ara,eg,
113.0,Al Ahly TV,MPEG-2/SD,1029.0,11747 V,tp 2,48,,,Al Ahly TV,https://www.lyngsat.com/tvchannels/eg/Al-Ahly-TV.html,False,ERTU,5/6,27500,DVB-S2,Ara,eg,
113.0,Al Ahly TV,MPEG-2/SD,1029.0,11747 V,tp 2,48,,,Al Ahly TV,https://www.lyngsat.com/tvchannels/eg/Al-Ahly-TV.html,False,ERTU,5/6,27500,DVB-S2,Ara,eg,
107.0,Alarabiya,MPEG-2/SD,1007.0,11747 V,tp 2,48,,,Alarabiya,https://www.lyngsat.com/tvchannels/sa/Alarabiya.html,False,ERTU,5/6,27500,DVB-S2,Ara,sa,
107.0,Alarabiya,MPEG-2/SD,1007.0,11747 V,tp 2,48,,,Alarabiya,https://www.lyngsat.com/tvchannels/sa/Alarabiya.html,False,ERTU,5/6,27500,DVB-S2,Ara,sa,
108.0,Al Hadath,MPEG-2/SD,1008.0,11747 V,tp 2,48,,,Al Hadath,https://www.lyngsat.com/tvchannels/sa/Al-Hadath.html,False,ERTU,5/6,27500,DVB-S2,Ara,sa,
108.0,Al Hadath,MPEG-2/SD,1008.0,11747 V,tp 2,48,,,Al Hadath,https://www.lyngsat.com/tvchannels/sa/Al-Hadath.html,False,ERTU,5/6,27500,DVB-S2,Ara,sa,
109.0,Mdeeh,MPEG-2/SD,1009.0,11747 V,tp 2,48,,,Mdeeh,https://www.lyngsat.com/tvchannels/--/Mdeeh.html,False,ERTU,5/6,27500,DVB-S2,Ara,--,
110.0,[Al-Nahar Cinema test card],MPEG-2/SD,1010.0,11747 V,tp 2,48,,,,,False,ERTU,5/6,27500,DVB-S2,,,
111.0,Yemen Today TV,MPEG-2/SD,1111.0,11747 V,tp 2,48,,,Yemen Today TV,https://www.lyngsat.com/tvchannels/ye/Yemen-Today-TV.html,False,ERTU,5/6,27500,DVB-S2,Ara,ye,
120.0,Alforat TV,MPEG-2/SD,1016.0,11747 V,tp 2,48,,,Alforat TV,https://www.lyngsat.com/tvchannels/iq/Alforat-TV.html,False,ERTU,5/6,27500,DVB-S2,Ara,iq,
,Nilesat,2048-5,,11766 H,tp 3,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-5,,11766 H,tp 3,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-5,,11766 H,tp 3,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-5,,11766 H,tp 3,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-5,,11766 H,tp 3,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-5,,11766 H,tp 3,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-5,,11766 H,tp 3,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-5,,11766 H,tp 3,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-18,,11785 V,tp 4,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-18,,11785 V,tp 4,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-18,,11785 V,tp 4,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-18,,11785 V,tp 4,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-18,,11785 V,tp 4,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-18,,11785 V,tp 4,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-18,,11785 V,tp 4,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-18,,11785 V,tp 4,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-10,,11804 H,tp 5,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-10,,11804 H,tp 5,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-10,,11804 H,tp 5,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-10,,11804 H,tp 5,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-10,,11804 H,tp 5,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-10,,11804 H,tp 5,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-10,,11804 H,tp 5,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-10,,11804 H,tp 5,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-11,,11823 V,tp 6,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-11,,11823 V,tp 6,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-11,,11823 V,tp 6,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-11,,11823 V,tp 6,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-11,,11823 V,tp 6,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-11,,11823 V,tp 6,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-11,,11823 V,tp 6,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-11,,11823 V,tp 6,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-16,,11900 V,tp 10,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-16,,11900 V,tp 10,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-16,,11900 V,tp 10,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-16,,11900 V,tp 10,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
,Nilesat,2048-16,,11900 V,tp 10,48,,https://www.lyngsat.com/providers/eg/Nilesat.html,,,True,Nilesat,5/6,27500,DVB-S2,,,eg
