Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
10992 VWest,DVB-S22203/4,1.0,Türksat promo,,65281-1MPEG-2/SD,1001.0,5.51002,,DX BozóthN Stanislav231127,10992 V,,,,,False,
11515 HMENA51,DVB-S28PSK300002/3,50450.0,Türksat promo,,MPEG-4/HD,5450.0,5650 Tur,,,11515 H,,51.0,,,False,
11037 HWest,DVB-S28PSK25005/6,,(feeds),,,,,,DX Bozóth231103,11037 H,,,,,False,
11041 HWest,DVB-S28PSK25005/6,,(feeds),,,,,,DX Bozóth231104,11041 H,,,,,False,
11041 VWest,DVB-S28PSK24905/6,,(feeds),,,,,,DX Bozóth240124,11041 V,,,,,False,
11046 HWest,DVB-S28PSK25005/6,,(feeds),,,,,,DX Bozóth231104,11046 H,,,,,False,
11048 VWest,DVB-S28PSK100003/4,,(feeds),,,,,,RoliN Stanislav230430,11048 V,,,,,False,
11066 HWest,DVB-S28PSK75005/6,,(feeds),,,,,,Roli240323,11066 H,,,,,False,
11067 VWest,DVB-S28PSK100003/4,,(feeds),,,,,,N Stanislav230416,11067 V,,,,,False,
11072 HWest,DVB-S28PSK25005/6,,(feeds),,,,,,Roli240323,11072 H,,,,,False,
11503 V,,,,,,,,,N Stanislav240202,11503 V,,,,,False,
11508 V,,,,,,,,,N Stanislav240202,11508 V,,,,,False,
11514 V,,,,,,,,,N Stanislav240202,11514 V,,,,,False,
11525 V,,,,,,,,,N Stanislav240202,11525 V,,,,,False,
11572 V,,,,,,,,,N Stanislav240202,11572 V,,,,,False,
11600 V,,,,,,,,,N Stanislav240202,11600 V,,,,,False,
11603 V,,,,,,,,,N Stanislav240202,11603 V,,,,,False,
11618 H,,,,,,,,,N Stanislav240202,11618 H,,,,,False,
11515 HMENA51,DVB-S28PSK300002/3,,Türksat,,,,6.6,,N Stanislav230905,11515 H,,51.0,,https://www.lyngsat.com/providers/tr/Turksat.html,True,Türksat
11515 HMENA51,DVB-S28PSK300002/3,50451.0,TRT Arabi,,MPEG-4/HD,5451.0,5651 Ara,,,11515 H,,51.0,,,False,Türksat
11515 HMENA51,DVB-S28PSK300002/3,50452.0,TRT World,,MPEG-4/HD,5452.0,5652 Eng,,,11515 H,,51.0,,,False,Türksat
11515 HMENA51,DVB-S28PSK300002/3,50453.0,Alkarma TV Middle East,,MPEG-4/SD,5453.0,5653 Ara,,,11515 H,,51.0,,,False,Türksat
