Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
12224 Rtp 1USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,12224 R,tp 1,,Videoguard,,False,
12239 Ltp 2USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,12239 L,tp 2,,Videoguard,,False,
12253 Rtp 3USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,12253 R,tp 3,,Videoguard,,False,
12282 Rtp 5USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,12282 R,tp 5,,Videoguard,,False,
12297 Ltp 6USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,12297 L,tp 6,,Videoguard,,False,
12311 Rtp 7USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,12311 R,tp 7,,Videoguard,,False,
12326 Ltp 8USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,12326 L,tp 8,,Videoguard,,False,
12341 Rtp 9USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,12341 R,tp 9,,Videoguard,,False,
12355 Ltp 10USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,12355 L,tp 10,,Videoguard,,False,
12370 Rtp 11USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,12370 R,tp 11,,Videoguard,,False,
12399 Rtp 13USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,12399 R,tp 13,,Videoguard,,False,
12414 Ltp 14USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,12414 L,tp 14,,Videoguard,,False,
12428 Rtp 15USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,12428 R,tp 15,,Videoguard,,False,
12443 Ltp 16USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,12443 L,tp 16,,Videoguard,,False,
12457 Rtp 17USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,12457 R,tp 17,,Videoguard,,False,
12486 Rtp 19USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,12486 R,tp 19,,Videoguard,,False,
12516 Rtp 21USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,12516 R,tp 21,,Videoguard,,False,
12530 Ltp 22USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,12530 L,tp 22,,Videoguard,,False,
12545 Rtp 23USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,12545 R,tp 23,,Videoguard,,False,
12559 Ltp 24USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,12559 L,tp 24,,Videoguard,,False,
12574 Rtp 25USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,12574 R,tp 25,,Videoguard,,False,
12603 Rtp 27USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,12603 R,tp 27,,Videoguard,,False,
12632 Rtp 29USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,12632 R,tp 29,,Videoguard,,False,
12647 Ltp 30USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,12647 L,tp 30,,Videoguard,,False,
12661 Rtp 31USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,12661 R,tp 31,,Videoguard,,False,
12676 Ltp 32USA,DSS200006/7,,DirecTV USA,,,,,Videoguard,A Flores200711,12676 L,tp 32,,Videoguard,,False,
