Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL
12188 Ltp 25Ku0,DVB-S28PSK275003/4,,,,,,7.9,,N Stanislav230107,12188 L,tp 25,0,,
12188 Ltp 25Ku0,DVB-S28PSK275003/4,17,Novoe Radio,,,,336 Rus,,,12188 L,tp 25,0,,
12188 Ltp 25Ku0,DVB-S28PSK275003/4,18,Nashe Radio (+4h),,,,337 Rus,,,12188 L,tp 25,0,,
12188 Ltp 25Ku0,DVB-S28PSK275003/4,21,Love Radio (Russia),,,,340 Rus,,,12188 L,tp 25,0,,
12245 Rtp 28Ku0,DVB-S28PSK275003/4,,NTV Plus Dalniy Vostok,,,,7.9,CompunicateViaccess,N Stanislav240218,12245 R,tp 28,0,"Compunicate,Viaccess",
12303 Ltp 31Ku0,DVB-S28PSK275003/4,,NTV Plus Dalniy Vostok,,,,7.9,CompunicateViaccess,N Stanislav231226,12303 L,tp 31,0,"Compunicate,Viaccess",
12322 Rtp 32Ku0,DVB-S28PSK275003/4,,NTV Plus Dalniy Vostok,,,,7.9,CompunicateViaccess,N Stanislav231026,12322 R,tp 32,0,"Compunicate,Viaccess",
12380 Ltp 35Ku0,DVB-S28PSK275003/4,,NTV Plus Dalniy Vostok,,,,7.9,CompunicateViaccess,N Stanislav240111,12380 L,tp 35,0,"Compunicate,Viaccess",
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56741,Humor FM,,,,2011 Rus,,,12380 L,tp 35,0,,
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56743,Radio Romantika,,,,2031 Rus,,,12380 L,tp 35,0,,
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56744,Avtoradio,,,,2041 Rus,,,12380 L,tp 35,0,,
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56745,Radio Vanya,,,,2051 Rus,,,12380 L,tp 35,0,,
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56746,NRJ Russia,,,,2061 Rus,,,12380 L,tp 35,0,,
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56747,DFM,,,,2071 Rus,,,12380 L,tp 35,0,,
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56748,Russkoe Radio,,,,2081 Rus,,,12380 L,tp 35,0,,
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56749,Hit FM (Russia),,,,2091 Rus,,,12380 L,tp 35,0,,
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56750,Maximum 103.7 FM,,,,2101 Rus,,,12380 L,tp 35,0,,
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56751,Business FM,,,,2111 Rus,,,12380 L,tp 35,0,,
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56752,Militseyskaya Volna,,,,2121 Rus,,,12380 L,tp 35,0,,
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56753,Comedy Radio,,,,2131 Rus,,,12380 L,tp 35,0,,
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56754,Radio Komsomolskaya Pravda,,,,2141 Rus,,,12380 L,tp 35,0,,
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56755,Relax FM,,,,2151 Rus,,,12380 L,tp 35,0,,
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56757,Radio Mir (0h),,,,2171 Rus,,,12380 L,tp 35,0,,
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56758,Love Radio (Russia),,,,2181 Rus,,,12380 L,tp 35,0,,
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56760,Detskoe Radio Moskva,,,,2201 Rus,,,12380 L,tp 35,0,,
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56761,Vesti FM,,,,2211 Rus,,,12380 L,tp 35,0,,
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56762,Radio Mayak,,,,2221 Rus,,,12380 L,tp 35,0,,
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56763,Radio Rossii,,,,2231 Rus,,,12380 L,tp 35,0,,
12380 Ltp 35Ku0,DVB-S28PSK275003/4,56764,Radio Republic Sakha,,,,2241 Rus,,,12380 L,tp 35,0,,
12399 Rtp 36Ku0,DVB-S28PSK275003/4,,NTV Plus Dalniy Vostok,,,,7.9,CompunicateViaccess,N Stanislav221026,12399 R,tp 36,0,"Compunicate,Viaccess",
12476 Rtp 40Ku0,DVB-S28PSK275003/4,,NTV Plus Dalniy Vostok,,,,7.9,CompunicateViaccess,N Stanislav220206,12476 R,tp 40,0,"Compunicate,Viaccess",
