Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,,Aljazeera,,224-1010,,6.6,,K Berkes201019,11046 H,tp B5,51,,https://www.lyngsat.com/providers/qa/Aljazeera.html
11604 Htp D7MENA Ku51,DVB-S275003/4,,Aljazeera,,224-1050,,5.5,,DX Bozóth231109,11604 H,tp D7,51,,https://www.lyngsat.com/providers/qa/Aljazeera.html
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,10101,Aljazeera Channel,,MPEG-4/HD,601,810 Ara,,,11046 H,tp B5,51,,
11604 Htp D7MENA Ku51,DVB-S275003/4,10501,Aljazeera Channel,,MPEG-2/SD,512,650 Ara,,,11604 H,tp D7,51,,
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,10102,Aljazeera Mubasher,,MPEG-4/HD,602,820 Ara,,,11046 H,tp B5,51,,
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,10105,Aljazeera Mubasher,,MPEG-4/HD,605,850 Ara,,,11046 H,tp B5,51,,
11604 Htp D7MENA Ku51,DVB-S275003/4,10502,Aljazeera Mubasher,,MPEG-2/SD,513,660 Ara,,,11604 H,tp D7,51,,
11604 Htp D7MENA Ku51,DVB-S275003/4,10505,Aljazeera Mubasher,,MPEG-2/SD,520,730 Ara,,,11604 H,tp D7,51,,
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,10103,Aljazeera English,,MPEG-4/HD,603,830 Eng 831 Eng,,,11046 H,tp B5,51,,
11604 Htp D7MENA Ku51,DVB-S275003/4,10503,Aljazeera English,,MPEG-2/SD,514,670 Eng,,,11604 H,tp D7,51,,
11046 Htp B5MENA Ku51,DVB-S28PSK275002/3,10104,Aljazeera Documentary,,MPEG-4/HD,604,840 Ara,,,11046 H,tp B5,51,,
11604 Htp D7MENA Ku51,DVB-S275003/4,10504,Aljazeera Documentary,,MPEG-2/SD,517,700 Ara,,,11604 H,tp D7,51,,
11068 Htp B7MENA Ku,DVB-S2QPSK16663/4,,(feeds),,,,,,N Stanislav231119,11068 H,tp B7,,,
11071 Htp B7MENA Ku,DVB-S2QPSK16663/4,,(feeds),,,,,,N Stanislav231119,11071 H,tp B7,,,
11670 Htp D11MENA Ku,DVB-S28PSK33332/3,,(feeds),,,,,,N Stanislav231110,11670 H,tp D11,,,
11674 Htp D11MENA Ku,DVB-S28PSK33332/3,,(feeds),,,,,,N Stanislav231110,11674 H,tp D11,,,
11678 Htp D11MENA Ku,DVB-S28PSK33332/3,,(feeds),,,,,,N Stanislav231110,11678 H,tp D11,,,
11682 Htp D11MENA Ku,DVB-S32005/6,,(feeds),,,,,,N Stanislav231110,11682 H,tp D11,,,
11686 Htp D11MENA Ku,DVB-S37503/4,,(feeds),,,,,,N Stanislav231110,11686 H,tp D11,,,
11180 Vtp B12MENA Ku51,,,,,,,,,N Stanislav240223,11180 V,tp B12,51,,
21420 Vtp KQ2MENA Ka,DVB-S28PSK275002/3,,,,622-20000,,6.6,,N Stanislav240102,21420 V,tp KQ2,,,
11604 Htp D7MENA Ku51,DVB-S275003/4,10506,[test card],,MPEG-2/SD,521,740,,,11604 H,tp D7,51,,
11649 Vtp D12MENA Ku51,DVB-S28PSK22443/4,1,Bedaya TV,,?-?MPEG-4/HD,512,7.94112 Ara,,N Stanislav240201,11649 V,tp D12,51,,
21420 Vtp KQ2MENA Ka,DVB-S28PSK275002/3,102,Sorec TV,,MPEG-4/HD,102,103,,,21420 V,tp KQ2,,,
21420 Vtp KQ2MENA Ka,DVB-S28PSK275002/3,104,Sloog,,MPEG-4/HD,1041,1042 Fre,,,21420 V,tp KQ2,,,
21420 Vtp KQ2MENA Ka,DVB-S28PSK275002/3,105,L'Match,,MPEG-4/HD,1051,1052 Fre,,,21420 V,tp KQ2,,,
21420 Vtp KQ2MENA Ka,DVB-S28PSK275002/3,106,Sisal Loterie Nationale,,MPEG-4/HD,1061,1062 Fre,,,21420 V,tp KQ2,,,
