Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
23,AFN Clutch,,,,1322 Eng,PowerVuVerimatrix,,,,,,,,
24,AFN Fans,,,,1424 Eng,PowerVuVerimatrix,,,,,,,,
25,AFN The Blend,,,,1524 Eng,PowerVuVerimatrix,,,,,,,,
26,AFN Legacy,,,,1624 Eng,PowerVuVerimatrix,,,,,,,,
27,AFN's Joe Radio,,,,1722 Eng,PowerVuVerimatrix,,,,,,,,
28,AFN Gravity,,,,1822 Eng,PowerVuVerimatrix,,,,,,,,
29,AFN Country,,,,1922 Eng,PowerVuVerimatrix,,,,,,,,
30,NPR AFN,,,,1202 Eng,PowerVuVerimatrix,,,,,,,,
31,AFN Seasonal,,,,1022 Eng,PowerVuVerimatrix,,,,,,,,
32,AFN Contingency,,,,1102 Eng,PowerVuVerimatrix,,,,,,,,
33,AFN Freedom Rock,,,,1932 Eng,PowerVuVerimatrix,,,,,,,,
35,AFN The Eagle Iwakuni,,,,1132 Eng,PowerVuVerimatrix,,,,,,,,
36,AFN The Eagle Daegu,,,,1432 Eng,PowerVuVerimatrix,,,,,,,,
37,AFN The Eagle Humphreys,,,,1232 Eng,PowerVuVerimatrix,,,,,,,,
38,AFN The Eagle Kunsan,,,,1332 Eng,PowerVuVerimatrix,,,,,,,,
39,AFN The Eagle Misawa,,,,1530 Eng,PowerVuVerimatrix,,,,,,,,
40,AFN The Eagle Okinawa,,,,1430 Eng,PowerVuVerimatrix,,,,,,,,
41,AFN The Eagle Tokyo,,,,1330 Eng,PowerVuVerimatrix,,,,,,,,
42,AFN The Eagle Sasebo,,,,1230 Eng,PowerVuVerimatrix,,,,,,,,
43,AFN The Eagle Okinawa,,,,1630 Eng,PowerVuVerimatrix,,,,,,,,
401,AFN Fans,,,,1720 Eng,PowerVuVerimatrix,,,,,,,,
12520 HNE Asia,DVB-S28PSK55003/4,,(SBS feeds),,,,,,T Kameda180829,,,,,
12527 HNE Asia,DVB-S28PSK55003/4,,(SBS feeds),,,,,,T Kameda180829,,,,,
12536 HNE Asia0,DVB-S216APSK81815/6,166,SkyGuide,,?-?HEVC/HD,481,482 Kor,,T Kameda200828,,,,,
12554 HNE Asia0,DVB-S37207/8,2,NHTV (Mon-Fri 08:45-17:15),,0-1HEVC/HD,1000,7.21001 Kor,,T Kameda210201,,,,,
12577 HNE Asia0,DVB-S28PSK88005/6,,MediaCan,,,,9.4,,T Kameda230217,,,,,
5,OUN,,MPEG-2/SD,185,186 Kor 187 Kor,,,,,,,,,
6,National Assembly TV,,MPEG-2/SD,195,196 Kor,,,,,,,,,
8,EBS Plus 1,,MPEG-2/SD,225,226 Kor 227 Kor,,,,,,,,,
9,EBS Plus 2,,MPEG-2/SD,230,231 Kor 232 Kor,,,,,,,,,
10,EBS English,,MPEG-2/SD,235,236 Kor 237 Kor,,,,,,,,,
12590 VNE Asia0,DVB-S28PSK300002/3,,American Forces Network,,18-101,,6.6,PowerVuVerimatrix,T Kameda210130,,,,,
2,AFN Prime Atlantic,,MPEG-4/HD,1260,1220 Eng,PowerVuVerimatrix,,,,,,,,
3,AFN News,,MPEG-4/HD,1560,1520 Eng,PowerVuVerimatrix,,,,,,,,
4,AFN Sports,,MPEG-4/HD,1160,1120 Eng,PowerVuVerimatrix,,,,,,,,
5,AFN Prime Pacific,,MPEG-4/HD,1460,1422 Eng,PowerVuVerimatrix,,,,,,,,
6,AFN Spectrum,,MPEG-4/HD,1360,1320 Eng,PowerVuVerimatrix,,,,,,,,
7,AFN Sports 2,,MPEG-4/HD,1660,1622 Eng,PowerVuVerimatrix,,,,,,,,
8,AFN Family,,MPEG-4/HD,1960,1920 Eng,PowerVuVerimatrix,,,,,,,,
9,AFN Movie,,MPEG-4/HD,1060,1020 Eng,PowerVuVerimatrix,,,,,,,,
401,[test card],,MPEG-2/SD,1760,1720,,,,,,,,,
402,[American Forces Network test card],,MPEG-4/HD,1860,1820,,,,,,,,,
20,AFN The Eagle Pacific,,,,1732 Eng,PowerVuVerimatrix,,,,,,,,
21,AFN The Voice,,,,1122 Eng,PowerVuVerimatrix,,,,,,,,
22,AFN PowerTalk,,,,1222 Eng,PowerVuVerimatrix,,,,,,,,
23,AFN Clutch,,,,1322 Eng,PowerVuVerimatrix,,,,,,,,
24,AFN Fans,,,,1424 Eng,PowerVuVerimatrix,,,,,,,,
25,AFN The Blend,,,,1524 Eng,PowerVuVerimatrix,,,,,,,,
26,AFN Legacy,,,,1624 Eng,PowerVuVerimatrix,,,,,,,,
27,AFN's Joe Radio,,,,1722 Eng,PowerVuVerimatrix,,,,,,,,
28,AFN Gravity,,,,1822 Eng,PowerVuVerimatrix,,,,,,,,
29,AFN Country,,,,1922 Eng,PowerVuVerimatrix,,,,,,,,
30,NPR AFN,,,,1202 Eng,PowerVuVerimatrix,,,,,,,,
31,AFN Seasonal,,,,1022 Eng,PowerVuVerimatrix,,,,,,,,
32,AFN Contingency,,,,1102 Eng,PowerVuVerimatrix,,,,,,,,
33,AFN Freedom Rock,,,,1932 Eng,PowerVuVerimatrix,,,,,,,,
35,AFN The Eagle Iwakuni,,,,1132 Eng,PowerVuVerimatrix,,,,,,,,
36,AFN The Eagle Daegu,,,,1432 Eng,PowerVuVerimatrix,,,,,,,,
37,AFN The Eagle Humphreys,,,,1232 Eng,PowerVuVerimatrix,,,,,,,,
38,AFN The Eagle Kunsan,,,,1332 Eng,PowerVuVerimatrix,,,,,,,,
39,AFN The Eagle Misawa,,,,1530 Eng,PowerVuVerimatrix,,,,,,,,
40,AFN The Eagle Okinawa,,,,1430 Eng,PowerVuVerimatrix,,,,,,,,
41,AFN The Eagle Tokyo,,,,1330 Eng,PowerVuVerimatrix,,,,,,,,
42,AFN The Eagle Sasebo,,,,1230 Eng,PowerVuVerimatrix,,,,,,,,
43,AFN The Eagle Okinawa,,,,1630 Eng,PowerVuVerimatrix,,,,,,,,
401,AFN Fans,,,,1720 Eng,PowerVuVerimatrix,,,,,,,,
12602 HNE Asia0,DVB-S175005/6,,MediaCan,,2-1,,6.5,,N Kawano200901,,,,,
5,OUN,,MPEG-2/SD,185,186 Kor 187 Kor,,,,,,,,,
6,National Assembly TV,,MPEG-2/SD,195,196 Kor,,,,,,,,,
8,EBS Plus 1,,MPEG-2/SD,225,226 Kor 227 Kor,,,,,,,,,
9,EBS Plus 2,,MPEG-2/SD,230,231 Kor 232 Kor,,,,,,,,,
10,EBS English,,MPEG-2/SD,235,236 Kor 237 Kor,,,,,,,,,
12623 HSouth Korea,DVB-S216APSK44003/4,,(MBN feeds),,,,,,T Kameda181115,,,,,
12624 VNE Asia,DVB-S28PSK50003/4,,(Korea Telecom feeds),,,,,,T Kameda180421,,,,,
12639 VNE Asia,DVB-S28PSK72003/4,,(Korea Telecom feeds),,,,,,T Kameda171227,,,,,
12644 HNE Asia,DVB-S28PSK32003/4,,(Korea Telecom feeds),,,,,,T Kameda180201,,,,,
12655 HNE Asia,DVB-S216APSK34744/5,,(MBC feeds),,,,,,T Kameda180101,,,,,
12660 HNE Asia,DVB-S216APSK34744/5,,(MBC feeds),,,,,,T Kameda200811,,,,,
12665 HNE Asia0,DVB-S28PSK38183/4,1,MBC (South Korea),,?-?MPEG-4/HD,513,7.9.112 Kor,,T Kameda180116,,,,,
1,MBC Standard FM,,,,4114 Kor,,,,,,,,,
1,MBC FM4U,,,,4115 Kor,,,,,,,,,
12710 VMaritime,DVB-S2QPSK116662/3,,,,,,3.1,,N Stanislav220510,,,,,
1,KBS Korea,,MPEG-4/HD,2051,2052 Kor,,,,,,,,,
2,YTN,,MPEG-4/HD,33,34 Kor,,,,,,,,,
3,KBS World,,MPEG-4/HD,81,82 Kor,,,,,,,,,
