Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
12188 Ltp 25Ku0,DVB-S28PSK275003/4,,,,,,7.9,,N Stanislav230107,,,,,
17,Novoe Radio,,,,336 Rus,,,,,,,,,
18,Nashe Radio (+4h),,,,337 Rus,,,,,,,,,
21,Love Radio (Russia),,,,340 Rus,,,,,,,,,
12245 Rtp 28Ku0,DVB-S28PSK275003/4,,NTV Plus Dalniy Vostok,,,,7.9,CompunicateViaccess,N Stanislav240218,,,,,
12303 Ltp 31Ku0,DVB-S28PSK275003/4,,NTV Plus Dalniy Vostok,,,,7.9,CompunicateViaccess,N Stanislav231226,,,,,
12322 Rtp 32Ku0,DVB-S28PSK275003/4,,NTV Plus Dalniy Vostok,,,,7.9,CompunicateViaccess,N Stanislav231026,,,,,
12380 Ltp 35Ku0,DVB-S28PSK275003/4,,NTV Plus Dalniy Vostok,,,,7.9,CompunicateViaccess,N Stanislav240111,,,,,
56741,Humor FM,,,,2011 Rus,,,,,,,,,
56743,Radio Romantika,,,,2031 Rus,,,,,,,,,
56744,Avtoradio,,,,2041 Rus,,,,,,,,,
56745,Radio Vanya,,,,2051 Rus,,,,,,,,,
56746,NRJ Russia,,,,2061 Rus,,,,,,,,,
56747,DFM,,,,2071 Rus,,,,,,,,,
56748,Russkoe Radio,,,,2081 Rus,,,,,,,,,
56749,Hit FM (Russia),,,,2091 Rus,,,,,,,,,
56750,Maximum 103.7 FM,,,,2101 Rus,,,,,,,,,
56751,Business FM,,,,2111 Rus,,,,,,,,,
56752,Militseyskaya Volna,,,,2121 Rus,,,,,,,,,
56753,Comedy Radio,,,,2131 Rus,,,,,,,,,
56754,Radio Komsomolskaya Pravda,,,,2141 Rus,,,,,,,,,
56755,Relax FM,,,,2151 Rus,,,,,,,,,
56757,Radio Mir (0h),,,,2171 Rus,,,,,,,,,
56758,Love Radio (Russia),,,,2181 Rus,,,,,,,,,
56760,Detskoe Radio Moskva,,,,2201 Rus,,,,,,,,,
56761,Vesti FM,,,,2211 Rus,,,,,,,,,
56762,Radio Mayak,,,,2221 Rus,,,,,,,,,
56763,Radio Rossii,,,,2231 Rus,,,,,,,,,
56764,Radio Republic Sakha,,,,2241 Rus,,,,,,,,,
12399 Rtp 36Ku0,DVB-S28PSK275003/4,,NTV Plus Dalniy Vostok,,,,7.9,CompunicateViaccess,N Stanislav221026,,,,,
12476 Rtp 40Ku0,DVB-S28PSK275003/4,,NTV Plus Dalniy Vostok,,,,7.9,CompunicateViaccess,N Stanislav220206,,,,,
