Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
12316 HIndonesia,DVB-S28PSK75003/4,,Metra TV,,,,7.9,,Albert I220809,,,,,
1,TVRI Nasional,,MPEG-4/SD,580,680 Ind,,,,,,,,,
2,Metro TV (Indonesia),,MPEG-4/SD,581,681 Ind,,,,,,,,,
3,Usee Prime,,MPEG-4/SD,582,682 Ind,,,,,,,,,
4,Ruang Trampil,,MPEG-4/SD,583,683 Ind,,,,,,,,,
5,Indonesiana TV,,MPEG-4/HD,584,684 Ind,,,,,,,,,
6,Usee Photo,,MPEG-4/SD,410,420 Ind,,,,,,,,,
7,IndiHome Shopping,,MPEG-4/SD,510,520 Ind,,,,,,,,,
8,Indonesiana TV,,MPEG-4/HD,504,604 Ind,,,,,,,,,
12560 HIndonesia,DVB-S28PSK100003/5,,Transvision,,,,5.5,Irdeto,Bulek Sps190827,,,,,
