Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
11003 H,DVB-S2QPSK288002/3,,MySat,,,,3.1,,C Sutton240302,,,,,
1,Rai Italia Australia,,MPEG-4/SD,412,413 Ita,,,,,,,,,
4,Mediaset Italia,,MPEG-4/SD,427,428 Ita,,,,,,,,,
15,Alpha Sat,,MPEG-4/SD,457,458 Gre,,,,,,,,,
16,ERT World,,MPEG-4/SD,462,463 Gre,,,,,,,,,
18,Ant1 Pacific,,MPEG-4/SD,442,443 Gre,,,,,,,,,
19,Greek Cinema,,MPEG-4/SD,447,448 Gre,,,,,,,,,
20,SportPlus (Greece),,MPEG-4/SD,452,453 Gre,,,,,,,,,
140,Al Jadeed,,MPEG-4/SD,516,690 Ara,,,,,,,,,
197,LBC International,,MPEG-4/SD,525,753 Ara,,,,,,,,,
204,NourSat,,MPEG-4/SD,530,790 Ara,,new,,,,,,,
206,MBC Maser,,MPEG-4/SD,532,810 Ara,,,,,,,,,
300,MTV (Lebanon),,MPEG-4/SD,302,303 Ara,,,,,,,,,
389,Aljazeera Channel,,MPEG-4/SD,562,563 Ara,,,,,,,,,
11061 H,DVB-S28PSK75005/6,,(feeds),,,,,,C Sutton230501,,,,,
11061 V,DVB-S28PSK75005/6,,(feeds),,,,,,C Sutton230416,,,,,
11078 H,DVB-S28PSK7500,,(feeds),,,,,,C Sutton230719,,,,,
11079 V,DVB-S27500,,(feeds),,,,,,C Sutton230430,,,,,
11087 H,DVB-S28PSK7500,,(feeds),,,,,,C Sutton230719,,,,,
11131 V,DVB-S28PSK7500,,(feeds),,,,,,C Sutton230416,,,,,
11251 V,DVB-S230000,,(feeds),,,,,,C Sutton230415,,,,,
11274 H,DVB-S28PSK75005/6,,(feeds),,,,,,C Sutton230507,,,,,
11283 H,DVB-S28PSK75005/6,,(feeds),,,,,,C Sutton230501,,,,,
11292 H,DVB-S28PSK75005/6,,(feeds),,,,,,C Sutton230507,,,,,
11301 H,DVB-S28PSK75003/4,,(feeds),,,,,,C Sutton230520,,,,,
11340 H,DVB-S28PSK75003/4,,(feeds),,,,,,C Sutton230607,,,,,
12274 H,DVB-S28PSK75005/6,,(feeds),,,,,,C Sutton230501,,,,,
