Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
12428 Vtp 9Ku0,DVB-S28PSK233033/5,,Sky PerfecTV!,,10-?,,5.5,Multi 2,Alimudin 328201127,,,,,
12523 Htp 14Ku0,DVB-S28PSK233033/5,,Sky PerfecTV!,,10-12308,,5.5,Multi 2,T Kameda141104,,,,,
12568 Vtp 17Ku0,DVB-S28PSK233033/5,,Sky PerfecTV!,,,,5.5,,T Kameda201209,,,,,
33353,Sukachan 5,,MPEG-4/HD,4101,4165 Jpn,,,,,,,,,
12583 Htp 18Ku0,DVB-S28PSK233033/5,,Sky PerfecTV!,,10-?,,5.5,Multi 2,T Kameda201129,,,,,
33354,Sukachan 6,,MPEG-4/HD,4103,4167 Jpn,,,,,,,,,
12598 Vtp 19Ku0,DVB-S28PSK233033/5,,Sky PerfecTV!,,10-?,,5.5,Multi 2,Alimudin 328201205,,,,,
12613 Htp 20Ku0,DVB-S28PSK233033/5,,Sky PerfecTV!,,10-?,,5.5,Multi 2,T Kameda141104,,,,,
12628 Vtp 21Ku0,DVB-S210963/4,,Sky PerfecTV!,,1-21,,5.5,Multi 2,T Kameda200506,,,,,
12643 Htp 22Ku0,DVB-S28PSK233033/5,,Sky PerfecTV!,,10-?,,5.5,,T Kameda200410,,,,,
33364,Sukachan 1,,HEVC/UHD,4111,4175 Jpn,,,,,,,,,
12673 Htp 24Ku0,DVB-S28PSK233033/5,,Sky PerfecTV!,,10-?,,5.5,Multi 2,T Kameda141104,,,,,
12688 Vtp 25Ku0,DVB-S28PSK233033/5,,Sky PerfecTV!,,,,5.5,Multi 2,T Kameda201209,,,,,
33353,BS Sky PerfecTV!,,MPEG-4/HD,4098,4165 Jpn,,,,,,,,,
12703 Htp 26Ku0,DVB-S28PSK233033/5,,Sky PerfecTV!,,10-?,,5.5,Multi 2,T Kameda141104,,,,,
12718 Vtp 27Ku0,DVB-S28PSK233033/5,,Sky PerfecTV!,,,,5.5,Multi 2,T Kameda201130,,,,,
33355,Sukachan 7,,MPEG-4/HD,4103,4167 Jpn,,,,,,,,,
12733 Htp 28Ku0,DVB-S28PSK233033/5,,Sky PerfecTV!,,10-12328,,5.5,Multi 2,T Kameda200409,,,,,
