Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider
11727 Htp B1Europe BSS0-47,DVB-S275003/4,,NEP Connect,,1-201,,5.5,IrdetoPowerVu,M Al-Taie240215,DVB-S,27500,3/4,11727 H,tp B1,0-47,"Irdeto,PowerVu",https://www.lyngsat.com/providers/uk/NEP-Connect.html,,,,,True,NEP Connect
11727 Htp B1Europe BSS0-47,DVB-S275003/4,,NEP Connect,,1-201,,5.5,IrdetoPowerVu,M Al-Taie240215,DVB-S,27500,3/4,11727 H,tp B1,0-47,"Irdeto,PowerVu",https://www.lyngsat.com/providers/uk/NEP-Connect.html,,,,,True,NEP Connect
12418 Htp B37Europe BSS0-47,DVB-S275003/4,,NEP Connect,,1-101,,5.5,PowerVu,F Dibba210706,DVB-S,27500,3/4,12418 H,tp B37,0-47,PowerVu,https://www.lyngsat.com/providers/uk/NEP-Connect.html,,,,,True,NEP Connect
12418 Htp B37Europe BSS0-47,DVB-S275003/4,,NEP Connect,,1-101,,5.5,PowerVu,F Dibba210706,DVB-S,27500,3/4,12418 H,tp B37,0-47,PowerVu,https://www.lyngsat.com/providers/uk/NEP-Connect.html,,,,,True,NEP Connect
11727 Htp B1Europe BSS0-47,DVB-S275003/4,66.0,Ladbrokes 1,,MPEG-2/SD,1310.0,1300 Eng,PowerVu,,DVB-S,27500,3/4,11727 H,tp B1,0-47,PowerVu,,Ladbrokes 1,https://www.lyngsat.com/tvchannels/uk/Ladbrokes-1.html,,,False,NEP Connect
11727 Htp B1Europe BSS0-47,DVB-S275003/4,95.0,Racing TVi,,MPEG-4/SD,110.0,101 Eng,Irdeto,,DVB-S,27500,3/4,11727 H,tp B1,0-47,Irdeto,,Racing TVi,https://www.lyngsat.com/tvchannels/uk/Racing-TVi.html,,,False,NEP Connect
11727 Htp B1Europe BSS0-47,DVB-S275003/4,136.0,SIS Two,,MPEG-2/SD,1910.0,1902 Eng,PowerVu,,DVB-S,27500,3/4,11727 H,tp B1,0-47,PowerVu,,SIS Two,https://www.lyngsat.com/tvchannels/uk/SIS-Two.html,,,False,NEP Connect
11727 Htp B1Europe BSS0-47,DVB-S275003/4,160.0,Betfred TV 1,,MPEG-4/SD,210.0,201 Eng,Irdeto,,DVB-S,27500,3/4,11727 H,tp B1,0-47,Irdeto,,Betfred TV 1,https://www.lyngsat.com/tvchannels/uk/Betfred-TV-1.html,,,False,NEP Connect
11727 Htp B1Europe BSS0-47,DVB-S275003/4,162.0,Betfred TV 2,,MPEG-4/SD,310.0,301 Eng,Irdeto,,DVB-S,27500,3/4,11727 H,tp B1,0-47,Irdeto,,Betfred TV 2,https://www.lyngsat.com/tvchannels/uk/Betfred-TV-2.html,,,False,NEP Connect
11727 Htp B1Europe BSS0-47,DVB-S275003/4,163.0,Betfred TV 3,,MPEG-4/SD,410.0,401 Eng,Irdeto,,DVB-S,27500,3/4,11727 H,tp B1,0-47,Irdeto,,Betfred TV 3,https://www.lyngsat.com/tvchannels/uk/Betfred-TV-3.html,,,False,NEP Connect
11747 Vtp B2Europe BSS0-47,DVB-S28PSK300003/4,,SES Ukraine,,85-43,,7.9,,N Stanislav240221,DVB-S2,30000,3/4,11747 V,tp B2,0-47,,https://www.lyngsat.com/providers/lu/SES-Ukraine.html,,,,,True,SES Ukraine
