Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider
11455 HMiddle East,DVB-S28PSK50002/3,,(feeds),,,,,,Roli220929,DVB-S2,5000.0,2/3,11455 H,,,,,,,,,False,
11461 HMiddle East,DVB-S28PSK50002/3,,(feeds),,,,,,Roli220929,DVB-S2,5000.0,2/3,11461 H,,,,,,,,,False,
11467 HMiddle East,DVB-S28PSK45003/4,,(feeds),,,,,,Roli201004,DVB-S2,4500.0,3/4,11467 H,,,,,,,,,False,
11481 HMiddle East,DVB-S28PSK38753/4,,(feeds),,,,,,Marcel 2180327,DVB-S2,3875.0,3/4,11481 H,,,,,,,,,False,
11487 HMiddle East,DVB-S2QPSK38755/6,,(feeds),,,,,,Roli200905,DVB-S2,3875.0,5/6,11487 H,,,,,,,,,False,
11502 HMiddle East,DVB-S22225/6,,(feeds),,,,,,Roli191124,DVB-S,2222.0,5/6,11502 H,,,,,,,,,False,
11516 HMiddle East,DVB-S28PSK20005/6,,(feeds),,,,,,Janlakomcik231109,DVB-S2,2000.0,5/6,11516 H,,,,,,,,,False,
11542 HMiddle East,DVB-S28PSK72003/4,,(feeds),,,,,,Roli240310,DVB-S2,7200.0,3/4,11542 H,,,,,,,,,False,
11551 HMiddle East,DVB-S28PSK72003/4,,(feeds),,,,,,Roli240324,DVB-S2,7200.0,3/4,11551 H,,,,,,,,,False,
11625 Htp 11Middle East,DVB-S28PSK10005/6,,(feeds),,,,,,N Stanislav211107,DVB-S2,1000.0,5/6,11625 H,tp 11,,,,,,,,False,
11663 Htp 12Middle East,DVB-S297003/4,,(feeds),,,,,,Stanley_cassidy230917,DVB-S2,9700.0,3/4,11663 H,tp 12,,,,,,,,False,
11672 Htp 12Middle East,DVB-S28PSK72003/4,,(feeds),,,,,,Stanley_cassidyRoli230907,DVB-S2,7200.0,3/4,11672 H,tp 12,,,,,,,,False,
11680 Htp 12Middle East,DVB-S272003/4,,(feeds),,,,,,Stanley_cassidy231031,DVB-S2,7200.0,3/4,11680 H,tp 12,,,,,,,,False,
11681 Vtp 12Europe,DVB-S28PSK22005/6,,(feeds),,,,,,Roli230309,DVB-S2,2200.0,5/6,11681 V,tp 12,,,,,,,,False,
11689 Htp 12Middle East,DVB-S28PSK72003/4,,(feeds),,,,,,Roli231201,DVB-S2,7200.0,3/4,11689 H,tp 12,,,,,,,,False,
12548 HEurope,DVB-S28PSK36003/4,,(feeds),,,,,,Roli231103,DVB-S2,3600.0,3/4,12548 H,,,,,,,,,False,
12560 HEurope,DVB-S28PSK72003/4,,(feeds),,,,,,Stanley_cassidyRoli230318,DVB-S2,7200.0,3/4,12560 H,,,,,,,,,False,
12567 HEurope,DVB-S28PSK50003/4,,(feeds),,,,,,Roli240310,DVB-S2,5000.0,3/4,12567 H,,,,,,,,,False,
12578 HEurope,DVB-S28PSK72003/4,,(feeds),,,,,,Stanley_cassidyRoli230318,DVB-S2,7200.0,3/4,12578 H,,,,,,,,,False,
12629 HEurope,DVB-S28PSK25005/6,,(feeds),,,,,,Roli201121,DVB-S2,2500.0,5/6,12629 H,,,,,,,,,False,
12632 HEurope,DVB-S28PSK25005/6,,(feeds),,,,,,Roli201121,DVB-S2,2500.0,5/6,12632 H,,,,,,,,,False,
12637 HEurope,DVB-S28PSK50005/6,,(feeds),,,,,,Roli230505,DVB-S2,5000.0,5/6,12637 H,,,,,,,,,False,
12643 HEurope,DVB-S28PSK50005/6,,(feeds),,,,,,Roli200912,DVB-S2,5000.0,5/6,12643 H,,,,,,,,,False,
12682 Htp 23Europe,DVB-S272003/4,,(feeds),,,,,,Stanley_cassidy220417,DVB-S2,7200.0,3/4,12682 H,tp 23,,,,,,,,False,
12693 Htp 23Europe,DVB-S293702/3,,(feeds),,,,,,Stanley_cassidy220406,DVB-S2,9370.0,2/3,12693 H,tp 23,,,,,,,,False,
12714 Htp 24Europe,DVB-S28PSK72003/4,,(feeds),,,,,,Roli220413,DVB-S2,7200.0,3/4,12714 H,tp 24,,,,,,,,False,
12719 Htp 24Europe,DVB-S15805/6,,(feeds),,,,,,Stanley_cassidyRoli210526,DVB-S,1580.0,5/6,12719 H,tp 24,,,,,,,,False,
12721 VEurope,DVB-S28PSK15805/6,,(feeds),,,,,,Stanley_cassidyRoli210526,DVB-S2,1580.0,5/6,12721 V,,,,,,,,,False,
12731 VEurope,DVB-S28PSK15805/6,,(feeds),,,,,,Stanley_cassidyRoli210526,DVB-S2,1580.0,5/6,12731 V,,,,,,,,,False,
12737 Htp 24Europe,DVB-S28PSK50003/4,,(feeds),,,,,,Roli221015,DVB-S2,5000.0,3/4,12737 H,tp 24,,,,,,,,False,
12743 Htp 24Europe,DVB-S28PSK50003/4,,(feeds),,,,,,Roli221015,DVB-S2,5000.0,3/4,12743 H,tp 24,,,,,,,,False,
11510 HMiddle East50-52,DVB-S28PSK44443/4,1.0,Media Office,,?-1MPEG-4/HD,33.0,7.9  34 Ara,,N Stanislav221203,DVB-S2,4444.0,3/4,11510 H,,50-52,,,,,,,False,
12439 HEurope46-48,DVB-S28PSK44443/4,1.0,Media Office,,65535-1MPEG-4/HD,33.0,7.9  34 Ara,,N Stanislav220707,DVB-S2,4444.0,3/4,12439 H,,46-48,,,,,,,False,
11514 HMiddle East50-52,DVB-S28PSK21425/6,1.0,Alsumaria,,1-0MPEG-4/HD,512.0,9.44112 Ara,,D Lita210227,DVB-S2,2142.0,5/6,11514 H,,50-52,,,,,,,False,
11514 HMiddle East50-52,DVB-S28PSK21425/6,1.0,Sumer FM,,,,4128 Ara,,,DVB-S2,2142.0,5/6,11514 H,,50-52,,,Sumer FM,https://www.lyngsat.com/radiochannels/iq/Sumer-FM.html,,,False,
11514 HMiddle East50-52,DVB-S28PSK21425/6,1.0,Sumer FM,,,,4128 Ara,,,DVB-S2,2142.0,5/6,11514 H,,50-52,,,Sumer FM,https://www.lyngsat.com/radiochannels/iq/Sumer-FM.html,,,False,
12117 HEurope46-48,DVB-S28PSK300005/6,,A1 Bulgaria,,926-177,,9.4,Conax,S Günes240309,DVB-S2,30000.0,5/6,12117 H,,46-48,Conax,,,,A1 Bulgaria,https://www.lyngsat.com/packages/A1-Bulgaria.html,False,
12117 HEurope46-48,DVB-S28PSK300005/6,,A1 Bulgaria,,926-177,,9.4,Conax,S Günes240309,DVB-S2,30000.0,5/6,12117 H,,46-48,Conax,,,,A1 Bulgaria,https://www.lyngsat.com/packages/A1-Bulgaria.html,False,
12117 HEurope46-48,DVB-S28PSK300005/6,,A1 Bulgaria,,926-177,,9.4,Conax,S Günes240309,DVB-S2,30000.0,5/6,12117 H,,46-48,Conax,,,,A1 Bulgaria,https://www.lyngsat.com/packages/A1-Bulgaria.html,False,
12117 HEurope46-48,DVB-S28PSK300005/6,,A1 Bulgaria,,926-177,,9.4,Conax,S Günes240309,DVB-S2,30000.0,5/6,12117 H,,46-48,Conax,,,,A1 Bulgaria,https://www.lyngsat.com/packages/A1-Bulgaria.html,False,
12117 HEurope46-48,DVB-S28PSK300005/6,,A1 Bulgaria,,926-177,,9.4,Conax,S Günes240309,DVB-S2,30000.0,5/6,12117 H,,46-48,Conax,,,,A1 Bulgaria,https://www.lyngsat.com/packages/A1-Bulgaria.html,False,
12117 HEurope46-48,DVB-S28PSK300005/6,,A1 Bulgaria,,926-177,,9.4,Conax,S Günes240309,DVB-S2,30000.0,5/6,12117 H,,46-48,Conax,,,,A1 Bulgaria,https://www.lyngsat.com/packages/A1-Bulgaria.html,False,
12137 VEurope46-48,DVB-S28PSK300005/6,,A1 Bulgaria,,926-178,,9.4,Conax,S Günes240309,DVB-S2,30000.0,5/6,12137 V,,46-48,Conax,,,,A1 Bulgaria,https://www.lyngsat.com/packages/A1-Bulgaria.html,False,
12137 VEurope46-48,DVB-S28PSK300005/6,,A1 Bulgaria,,926-178,,9.4,Conax,S Günes240309,DVB-S2,30000.0,5/6,12137 V,,46-48,Conax,,,,A1 Bulgaria,https://www.lyngsat.com/packages/A1-Bulgaria.html,False,
12137 VEurope46-48,DVB-S28PSK300005/6,,A1 Bulgaria,,926-178,,9.4,Conax,S Günes240309,DVB-S2,30000.0,5/6,12137 V,,46-48,Conax,,,,A1 Bulgaria,https://www.lyngsat.com/packages/A1-Bulgaria.html,False,
12137 VEurope46-48,DVB-S28PSK300005/6,,A1 Bulgaria,,926-178,,9.4,Conax,S Günes240309,DVB-S2,30000.0,5/6,12137 V,,46-48,Conax,,,,A1 Bulgaria,https://www.lyngsat.com/packages/A1-Bulgaria.html,False,
12137 VEurope46-48,DVB-S28PSK300005/6,,A1 Bulgaria,,926-178,,9.4,Conax,S Günes240309,DVB-S2,30000.0,5/6,12137 V,,46-48,Conax,,,,A1 Bulgaria,https://www.lyngsat.com/packages/A1-Bulgaria.html,False,
12137 VEurope46-48,DVB-S28PSK300005/6,,A1 Bulgaria,,926-178,,9.4,Conax,S Günes240309,DVB-S2,30000.0,5/6,12137 V,,46-48,Conax,,,,A1 Bulgaria,https://www.lyngsat.com/packages/A1-Bulgaria.html,False,
12309 HEurope46-48,DVB-S28PSK300005/6,,A1 Bulgaria,,926-2833,,9.4,ConaxNagravision,S Günes240309,DVB-S2,30000.0,5/6,12309 H,,46-48,"Conax,Nagravision",,,,A1 Bulgaria,https://www.lyngsat.com/packages/A1-Bulgaria.html,False,
12309 HEurope46-48,DVB-S28PSK300005/6,,A1 Bulgaria,,926-2833,,9.4,ConaxNagravision,S Günes240309,DVB-S2,30000.0,5/6,12309 H,,46-48,"Conax,Nagravision",,,,A1 Bulgaria,https://www.lyngsat.com/packages/A1-Bulgaria.html,False,
12309 HEurope46-48,DVB-S28PSK300005/6,,A1 Bulgaria,,926-2833,,9.4,ConaxNagravision,S Günes240309,DVB-S2,30000.0,5/6,12309 H,,46-48,"Conax,Nagravision",,,,A1 Bulgaria,https://www.lyngsat.com/packages/A1-Bulgaria.html,False,
12309 HEurope46-48,DVB-S28PSK300005/6,,A1 Bulgaria,,926-2833,,9.4,ConaxNagravision,S Günes240309,DVB-S2,30000.0,5/6,12309 H,,46-48,"Conax,Nagravision",,,,A1 Bulgaria,https://www.lyngsat.com/packages/A1-Bulgaria.html,False,
12309 HEurope46-48,DVB-S28PSK300005/6,,A1 Bulgaria,,926-2833,,9.4,ConaxNagravision,S Günes240309,DVB-S2,30000.0,5/6,12309 H,,46-48,"Conax,Nagravision",,,,A1 Bulgaria,https://www.lyngsat.com/packages/A1-Bulgaria.html,False,
12309 HEurope46-48,DVB-S28PSK300005/6,,A1 Bulgaria,,926-2833,,9.4,ConaxNagravision,S Günes240309,DVB-S2,30000.0,5/6,12309 H,,46-48,"Conax,Nagravision",,,,A1 Bulgaria,https://www.lyngsat.com/packages/A1-Bulgaria.html,False,
12117 HEurope46-48,DVB-S28PSK300005/6,131.0,The Voice TV,,HEVC,4101.0,4102 Bul,,,DVB-S2,30000.0,5/6,12117 H,,46-48,,,The Voice TV,https://www.lyngsat.com/tvchannels/bg/The-Voice-TV.html,,,False,
12117 HEurope46-48,DVB-S28PSK300005/6,131.0,The Voice TV,,HEVC,4101.0,4102 Bul,,,DVB-S2,30000.0,5/6,12117 H,,46-48,,,The Voice TV,https://www.lyngsat.com/tvchannels/bg/The-Voice-TV.html,,,False,
12117 HEurope46-48,DVB-S28PSK300005/6,131.0,The Voice TV,,HEVC,4101.0,4102 Bul,,,DVB-S2,30000.0,5/6,12117 H,,46-48,,,The Voice TV,https://www.lyngsat.com/tvchannels/bg/The-Voice-TV.html,,,False,
12117 HEurope46-48,DVB-S28PSK300005/6,131.0,The Voice TV,,HEVC,4101.0,4102 Bul,,,DVB-S2,30000.0,5/6,12117 H,,46-48,,,The Voice TV,https://www.lyngsat.com/tvchannels/bg/The-Voice-TV.html,,,False,
12271 HEurope46-48,DVB-S300007/8,1015.0,The Voice TV,,MPEG-2/SD,848.0,849 Bul,,,DVB-S,30000.0,7/8,12271 H,,46-48,,,The Voice TV,https://www.lyngsat.com/tvchannels/bg/The-Voice-TV.html,,,False,
12271 HEurope46-48,DVB-S300007/8,1015.0,The Voice TV,,MPEG-2/SD,848.0,849 Bul,,,DVB-S,30000.0,7/8,12271 H,,46-48,,,The Voice TV,https://www.lyngsat.com/tvchannels/bg/The-Voice-TV.html,,,False,
12271 HEurope46-48,DVB-S300007/8,1015.0,The Voice TV,,MPEG-2/SD,848.0,849 Bul,,,DVB-S,30000.0,7/8,12271 H,,46-48,,,The Voice TV,https://www.lyngsat.com/tvchannels/bg/The-Voice-TV.html,,,False,
12271 HEurope46-48,DVB-S300007/8,1015.0,The Voice TV,,MPEG-2/SD,848.0,849 Bul,,,DVB-S,30000.0,7/8,12271 H,,46-48,,,The Voice TV,https://www.lyngsat.com/tvchannels/bg/The-Voice-TV.html,,,False,
12156 HEurope46-48,DVB-S28PSK300005/6,,Bulsatcom,,1-7,,9.4,BulcryptConaxNagravision,M Al-Taie240102,DVB-S2,30000.0,5/6,12156 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12156 HEurope46-48,DVB-S28PSK300005/6,,Bulsatcom,,1-7,,9.4,BulcryptConaxNagravision,M Al-Taie240102,DVB-S2,30000.0,5/6,12156 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12156 HEurope46-48,DVB-S28PSK300005/6,,Bulsatcom,,1-7,,9.4,BulcryptConaxNagravision,M Al-Taie240102,DVB-S2,30000.0,5/6,12156 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12156 HEurope46-48,DVB-S28PSK300005/6,,Bulsatcom,,1-7,,9.4,BulcryptConaxNagravision,M Al-Taie240102,DVB-S2,30000.0,5/6,12156 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12156 HEurope46-48,DVB-S28PSK300005/6,,Bulsatcom,,1-7,,9.4,BulcryptConaxNagravision,M Al-Taie240102,DVB-S2,30000.0,5/6,12156 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12156 HEurope46-48,DVB-S28PSK300005/6,,Bulsatcom,,1-7,,9.4,BulcryptConaxNagravision,M Al-Taie240102,DVB-S2,30000.0,5/6,12156 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12156 HEurope46-48,DVB-S28PSK300005/6,,Bulsatcom,,1-7,,9.4,BulcryptConaxNagravision,M Al-Taie240102,DVB-S2,30000.0,5/6,12156 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12156 HEurope46-48,DVB-S28PSK300005/6,,Bulsatcom,,1-7,,9.4,BulcryptConaxNagravision,M Al-Taie240102,DVB-S2,30000.0,5/6,12156 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12156 HEurope46-48,DVB-S28PSK300005/6,,Bulsatcom,,1-7,,9.4,BulcryptConaxNagravision,M Al-Taie240102,DVB-S2,30000.0,5/6,12156 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12156 HEurope46-48,DVB-S28PSK300005/6,,Bulsatcom,,1-7,,9.4,BulcryptConaxNagravision,M Al-Taie240102,DVB-S2,30000.0,5/6,12156 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12156 HEurope46-48,DVB-S28PSK300005/6,,Bulsatcom,,1-7,,9.4,BulcryptConaxNagravision,M Al-Taie240102,DVB-S2,30000.0,5/6,12156 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12156 HEurope46-48,DVB-S28PSK300005/6,,Bulsatcom,,1-7,,9.4,BulcryptConaxNagravision,M Al-Taie240102,DVB-S2,30000.0,5/6,12156 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12156 HEurope46-48,DVB-S28PSK300005/6,,Bulsatcom,,1-7,,9.4,BulcryptConaxNagravision,M Al-Taie240102,DVB-S2,30000.0,5/6,12156 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12156 HEurope46-48,DVB-S28PSK300005/6,,Bulsatcom,,1-7,,9.4,BulcryptConaxNagravision,M Al-Taie240102,DVB-S2,30000.0,5/6,12156 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12194 HEurope46-48,DVB-S300007/8,,Bulsatcom,,1-2,,7.2,BulcryptConaxNagravision,M Al-Taie240122,DVB-S,30000.0,7/8,12194 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12194 HEurope46-48,DVB-S300007/8,,Bulsatcom,,1-2,,7.2,BulcryptConaxNagravision,M Al-Taie240122,DVB-S,30000.0,7/8,12194 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12194 HEurope46-48,DVB-S300007/8,,Bulsatcom,,1-2,,7.2,BulcryptConaxNagravision,M Al-Taie240122,DVB-S,30000.0,7/8,12194 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12194 HEurope46-48,DVB-S300007/8,,Bulsatcom,,1-2,,7.2,BulcryptConaxNagravision,M Al-Taie240122,DVB-S,30000.0,7/8,12194 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12194 HEurope46-48,DVB-S300007/8,,Bulsatcom,,1-2,,7.2,BulcryptConaxNagravision,M Al-Taie240122,DVB-S,30000.0,7/8,12194 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12194 HEurope46-48,DVB-S300007/8,,Bulsatcom,,1-2,,7.2,BulcryptConaxNagravision,M Al-Taie240122,DVB-S,30000.0,7/8,12194 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12194 HEurope46-48,DVB-S300007/8,,Bulsatcom,,1-2,,7.2,BulcryptConaxNagravision,M Al-Taie240122,DVB-S,30000.0,7/8,12194 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12194 HEurope46-48,DVB-S300007/8,,Bulsatcom,,1-2,,7.2,BulcryptConaxNagravision,M Al-Taie240122,DVB-S,30000.0,7/8,12194 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12194 HEurope46-48,DVB-S300007/8,,Bulsatcom,,1-2,,7.2,BulcryptConaxNagravision,M Al-Taie240122,DVB-S,30000.0,7/8,12194 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12194 HEurope46-48,DVB-S300007/8,,Bulsatcom,,1-2,,7.2,BulcryptConaxNagravision,M Al-Taie240122,DVB-S,30000.0,7/8,12194 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12194 HEurope46-48,DVB-S300007/8,,Bulsatcom,,1-2,,7.2,BulcryptConaxNagravision,M Al-Taie240122,DVB-S,30000.0,7/8,12194 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12194 HEurope46-48,DVB-S300007/8,,Bulsatcom,,1-2,,7.2,BulcryptConaxNagravision,M Al-Taie240122,DVB-S,30000.0,7/8,12194 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12194 HEurope46-48,DVB-S300007/8,,Bulsatcom,,1-2,,7.2,BulcryptConaxNagravision,M Al-Taie240122,DVB-S,30000.0,7/8,12194 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12194 HEurope46-48,DVB-S300007/8,,Bulsatcom,,1-2,,7.2,BulcryptConaxNagravision,M Al-Taie240122,DVB-S,30000.0,7/8,12194 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12213 VEurope46-48,DVB-S300007/8,,Bulsatcom,,1-4,,7.2,BulcryptConaxNagravision,M Al-Taie240212,DVB-S,30000.0,7/8,12213 V,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12213 VEurope46-48,DVB-S300007/8,,Bulsatcom,,1-4,,7.2,BulcryptConaxNagravision,M Al-Taie240212,DVB-S,30000.0,7/8,12213 V,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12213 VEurope46-48,DVB-S300007/8,,Bulsatcom,,1-4,,7.2,BulcryptConaxNagravision,M Al-Taie240212,DVB-S,30000.0,7/8,12213 V,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12213 VEurope46-48,DVB-S300007/8,,Bulsatcom,,1-4,,7.2,BulcryptConaxNagravision,M Al-Taie240212,DVB-S,30000.0,7/8,12213 V,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12213 VEurope46-48,DVB-S300007/8,,Bulsatcom,,1-4,,7.2,BulcryptConaxNagravision,M Al-Taie240212,DVB-S,30000.0,7/8,12213 V,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12213 VEurope46-48,DVB-S300007/8,,Bulsatcom,,1-4,,7.2,BulcryptConaxNagravision,M Al-Taie240212,DVB-S,30000.0,7/8,12213 V,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12213 VEurope46-48,DVB-S300007/8,,Bulsatcom,,1-4,,7.2,BulcryptConaxNagravision,M Al-Taie240212,DVB-S,30000.0,7/8,12213 V,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12213 VEurope46-48,DVB-S300007/8,,Bulsatcom,,1-4,,7.2,BulcryptConaxNagravision,M Al-Taie240212,DVB-S,30000.0,7/8,12213 V,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12213 VEurope46-48,DVB-S300007/8,,Bulsatcom,,1-4,,7.2,BulcryptConaxNagravision,M Al-Taie240212,DVB-S,30000.0,7/8,12213 V,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12213 VEurope46-48,DVB-S300007/8,,Bulsatcom,,1-4,,7.2,BulcryptConaxNagravision,M Al-Taie240212,DVB-S,30000.0,7/8,12213 V,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12213 VEurope46-48,DVB-S300007/8,,Bulsatcom,,1-4,,7.2,BulcryptConaxNagravision,M Al-Taie240212,DVB-S,30000.0,7/8,12213 V,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12213 VEurope46-48,DVB-S300007/8,,Bulsatcom,,1-4,,7.2,BulcryptConaxNagravision,M Al-Taie240212,DVB-S,30000.0,7/8,12213 V,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12213 VEurope46-48,DVB-S300007/8,,Bulsatcom,,1-4,,7.2,BulcryptConaxNagravision,M Al-Taie240212,DVB-S,30000.0,7/8,12213 V,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12213 VEurope46-48,DVB-S300007/8,,Bulsatcom,,1-4,,7.2,BulcryptConaxNagravision,M Al-Taie240212,DVB-S,30000.0,7/8,12213 V,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12271 HEurope46-48,DVB-S300007/8,,Bulsatcom,,1-1,,7.2,BulcryptConaxNagravision,M Al-Taie240212,DVB-S,30000.0,7/8,12271 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12271 HEurope46-48,DVB-S300007/8,,Bulsatcom,,1-1,,7.2,BulcryptConaxNagravision,M Al-Taie240212,DVB-S,30000.0,7/8,12271 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12271 HEurope46-48,DVB-S300007/8,,Bulsatcom,,1-1,,7.2,BulcryptConaxNagravision,M Al-Taie240212,DVB-S,30000.0,7/8,12271 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12271 HEurope46-48,DVB-S300007/8,,Bulsatcom,,1-1,,7.2,BulcryptConaxNagravision,M Al-Taie240212,DVB-S,30000.0,7/8,12271 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12271 HEurope46-48,DVB-S300007/8,,Bulsatcom,,1-1,,7.2,BulcryptConaxNagravision,M Al-Taie240212,DVB-S,30000.0,7/8,12271 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12271 HEurope46-48,DVB-S300007/8,,Bulsatcom,,1-1,,7.2,BulcryptConaxNagravision,M Al-Taie240212,DVB-S,30000.0,7/8,12271 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12271 HEurope46-48,DVB-S300007/8,,Bulsatcom,,1-1,,7.2,BulcryptConaxNagravision,M Al-Taie240212,DVB-S,30000.0,7/8,12271 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
12271 HEurope46-48,DVB-S300007/8,,Bulsatcom,,1-1,,7.2,BulcryptConaxNagravision,M Al-Taie240212,DVB-S,30000.0,7/8,12271 H,,46-48,"Bulcrypt,Conax,Nagravision",,,,Bulsatcom,https://www.lyngsat.com/packages/Bulsatcom.html,False,
