SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country
,(feeds),,,3726 R,tp EHR2,,,,,,False,,3/4,4400.0,DVB-S2,,
,(feeds),,,10977 H,tp EUH1,,,,,,False,,3/4,4610.0,DVB-S2,,
,(feeds),,,11001 H,tp 1,,,,,,False,,5/6,7200.0,DVB-S2,,
,(feeds),,,11162 H,tp EUH4,,BISS,,,,False,,5/6,14368.0,DVB-S2,,
,(feeds),,,11536 H,tp EUH6,,,,,,False,,3/4,7200.0,DVB-S2,,
,(feeds),,,11547 H,tp EUH6,,,,,,False,,3/4,4875.0,DVB-S2,,
,(feeds),,,11555 H,tp EUH6,,,,,,False,,3/4,7200.0,DVB-S2,,
,(feeds),,,11573 H,tp EUH6,,,,,,False,,3/4,7000.0,DVB-S2,,
,(feeds),,,11654 H,tp EUH8,,,,,,False,,3/4,4610.0,DVB-S2,,
,(feeds),,,11667 H,tp EUH8,,,,,,False,,/10,75009.0,DVB-S2,,
,(feeds),,,11675 H,tp EUH8,,,,,,False,,3/4,4610.0,DVB-S2,,
,(feeds),,,11682 H,tp EUH8,,,,,,False,,3/4,4610.0,DVB-S2,,
,(feeds),,,11688 H,tp EUH8,,,,,,False,,3/4,4610.0,DVB-S2,,
,(feeds),,,11694 H,tp EUH8,,,,,,False,,3/4,4610.0,DVB-S2,,
,(feeds),,,12512 H,tp EUH9,,,,,,False,,3/4,7200.0,DVB-S2,,
,(feeds),,,12534 H,tp EUH9,,,,,,False,,3/4,7200.0,DVB-S2,,
,(feeds),,,12545 H,tp EUH9,,,,,,False,,3/4,7000.0,DVB-S2,,
,(feeds),,,12553 H,tp EUH9,,,,,,False,,3/4,24800.0,DVB-S2,,
,(feeds),,,12559 H,tp EUH9,,,,,,False,,3/4,24800.0,DVB-S2,,
,(feeds),,,12577 H,tp EUH10,,,,,,False,,3/4,7200.0,DVB-S2,,
,(feeds),,,12587 H,tp EUH10,,,,,,False,,3/4,7200.0,DVB-S2,,
,(feeds),,,12595 H,tp EUH10,,,,,,False,,3/4,4800.0,DVB-S2,,
,(feeds),,,12605 H,tp EUH10,,,,,,False,,3/4,7200.0,DVB-S2,,
,(feeds),,,12612 H,tp EUH10,,,,,,False,,3/4,4610.0,DVB-S2,,
,(feeds),,,12618 H,tp EUH10,,,,,,False,,3/4,4610.0,DVB-S2,,
,(feeds),,,12625 H,tp EUH10,,,,,,False,,3/4,4610.0,DVB-S2,,
,(feeds),,,12635 H,tp EUH11,,,,,,False,,3/4,4610.0,DVB-S2,,
,(feeds),,,12642 H,tp EUH11,,,,,,False,,3/4,2400.0,DVB-S2,,
,(feeds),,,12650 H,tp EUH11,,,,,,False,,3/4,4610.0,DVB-S2,,
,(feeds),,,12656 H,tp EUH11,,,,,,False,,3/4,4610.0,DVB-S2,,
,Easy TV Côte d'Ivoire,183-900,,3749 L,tp EHL2,,,,,,False,,P 0,,DVB-S2,,
